text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
"RT @myaccessbank: RT if you are 'young' enough to have spent these senior N10, N20 and N50 notes <f0><U+009F><U+0098><U+0089> #ThrowbackThursday #TBT #Currency https:…",FALSE,0,NA,8/4/2018 6:06,FALSE,NA,1.02562E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",physicalcee,208,TRUE,FALSE,NA,NA,Abuja,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
@accessbank_help @myaccessbank Check dm,FALSE,0,accessbank_help,8/4/2018 5:03,FALSE,1.02558E+18,1.02561E+18,2164455380,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",akindelekamar,0,FALSE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/983561390307897344/rGn25OEw_normal.jpg
@accessbank_help @Gtfavour1 @myaccessbank Something similar happened to me since June and up till now my money hasn… https://t.co/3ZUDop4XxB,FALSE,0,accessbank_help,8/4/2018 3:57,TRUE,1.02523E+18,1.02559E+18,2164455380,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Almagiri,0,FALSE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/534713784083165184/Vx8t8iw9_normal.jpeg
Hi @myaccessbank I validated&amp; migrated my A/C from tier 1 to premier saving yesterday at Ibadan.I received the  mes… https://t.co/URyYLcoL8j,FALSE,1,NA,8/4/2018 3:00,TRUE,NA,1.02558E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",akindelekamar,0,FALSE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/983561390307897344/rGn25OEw_normal.jpg
@Nairametrics @Gidi_Traffic @Ebuka @OgbeniDipo @Nobsdaslushhkid @myaccessbank Segun Agbaje of Gtb,FALSE,0,Nairametrics,8/4/2018 1:45,FALSE,1.02538E+18,1.02556E+18,1427565012,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ekpedemela,0,FALSE,FALSE,NA,NA,"Lagos, Nigeria",en,http://pbs.twimg.com/profile_images/652189815862112256/0fpqGkeI_normal.jpg
"RT @Kgnv_Plat: Please explain what's happening here ooooooooo, Dont let us be unfortunate.... @myaccessbank @accessbank_help https://t.co/Q…",FALSE,0,NA,8/4/2018 0:58,FALSE,NA,1.02555E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kgnv_Plat,1,TRUE,FALSE,NA,NA,"Ondo, Nigeria",en,http://pbs.twimg.com/profile_images/1010837865167716352/SPSTkc-u_normal.jpg
"@myaccessbank Unable to access my mobile app, need help please",FALSE,0,myaccessbank,8/4/2018 0:42,FALSE,NA,1.02554E+18,190615522,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CharlesRegina19,0,FALSE,FALSE,NA,NA,"Accra, Ghana",en,http://pbs.twimg.com/profile_images/1025540186745307137/IcREMh-g_normal.jpg
"RT @thedreamville: Wow, I heard a lot of people praising @myaccessbank customer care, &amp; I experienced it first hand today. I'm flabbergaste…",FALSE,0,NA,8/4/2018 0:25,FALSE,NA,1.02554E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",odijo_omohz,3,TRUE,FALSE,NA,NA,,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
@myaccessbank free data,FALSE,0,myaccessbank,8/4/2018 0:23,FALSE,1.02468E+18,1.02554E+18,190615522,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",odijo_omohz,0,FALSE,FALSE,NA,NA,,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"RT @myaccessbank: Would you rather have free airtime or data for a whole year?
To participate, all you have to do is recharge N1000 and abo…",FALSE,0,NA,8/4/2018 0:19,FALSE,NA,1.02554E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",odijo_omohz,12,TRUE,FALSE,NA,NA,,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
