text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
@DiamondBankHelp OK. Thanks,FALSE,0,DiamondBankHelp,8/4/2018 5:05,FALSE,1.02561E+18,1.02561E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,0,FALSE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
RT @DiamondBankHelp: @Vangalee37 Thank you for giving us a low down on what happened. Kindly provide the account details of the beneficiary…,FALSE,0,NA,8/4/2018 5:05,FALSE,NA,1.02561E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,1,TRUE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
RT @DiamondBankHelp: @Vangalee37 Thank you for bringing this to our attention. Please provide us details of the what transpired between you…,FALSE,0,NA,8/4/2018 4:43,FALSE,NA,1.0256E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,1,TRUE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
@DiamondBankHelp I'd be very happy if this matter is quickly treated and my money is returned. Thanks in anticipation.,FALSE,0,Vangalee37,8/4/2018 4:42,FALSE,1.0256E+18,1.0256E+18,953264065,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,0,FALSE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
@DiamondBankHelp  https://t.co/E4NIsG0Xgw,FALSE,0,Vangalee37,8/4/2018 4:40,FALSE,1.0256E+18,1.0256E+18,953264065,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,0,FALSE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
@DiamondBankHelp Here are the screenshots of my debit alert. https://t.co/5AwdSm12jM,FALSE,0,Vangalee37,8/4/2018 4:40,FALSE,1.0256E+18,1.0256E+18,953264065,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,0,FALSE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
@DiamondBankHelp  https://t.co/FUJ3Lx6QAF,FALSE,0,Vangalee37,8/4/2018 4:38,FALSE,1.0256E+18,1.0256E+18,953264065,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,0,FALSE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
@DiamondBankHelp  https://t.co/t7pT2gPUZv,FALSE,0,Vangalee37,8/4/2018 4:37,FALSE,1.0256E+18,1.0256E+18,953264065,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,0,FALSE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
@DiamondBankHelp  https://t.co/wD3p6GKHGZ,FALSE,0,Vangalee37,8/4/2018 4:36,FALSE,1.0256E+18,1.0256E+18,953264065,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,0,FALSE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
@DiamondBankHelp  https://t.co/vglC8ARMZ4,FALSE,0,Vangalee37,8/4/2018 4:36,FALSE,1.0256E+18,1.0256E+18,953264065,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vangalee37,0,FALSE,FALSE,NA,NA,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,http://pbs.twimg.com/profile_images/1022517970541654018/sojH0qv5_normal.jpg
