"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@ecobank_nigeria Yaaaay",FALSE,0,"ecobank_nigeria",2018-08-04 05:49:00,FALSE,"1025367694072315906","1025619591274405888","4416548975","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ayodex2006",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/785264361506017280/FkH40LOs_normal.jpg"
"RT @ecobank_nigeria: Water replaces other calorie-laden beverages in the diet, causing you to reduce your overall number of calories.
#Xpre…",FALSE,0,NA,2018-08-04 05:48:54,FALSE,NA,"1025619565886300160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ayodex2006",8,TRUE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/785264361506017280/FkH40LOs_normal.jpg"
"RT @ecobank_nigeria: The ultimate way to predict your children's future is to create it. 

With Ecobank's payments solutions, you can make…",FALSE,0,NA,2018-08-04 05:48:39,FALSE,NA,"1025619504871694336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ayodex2006",6,TRUE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/785264361506017280/FkH40LOs_normal.jpg"
"RT @ecobank_nigeria: We are full of nostalgia over #CelebrateAfricanCulture event which took place a few weeks ago at the #NewAfrikaShrine…",FALSE,0,NA,2018-08-04 05:47:43,FALSE,NA,"1025619268564643841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ayodex2006",14,TRUE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/785264361506017280/FkH40LOs_normal.jpg"
"RT @ecobank_nigeria: The ultimate way to predict your children's future is to create it. 

With Ecobank's payments solutions, you can make…",FALSE,0,NA,2018-08-04 03:47:27,FALSE,NA,"1025589001439391744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gbemro",6,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1006499160806313986/4gKBDxmA_normal.jpg"
"RT @ecobank_nigeria: We are full of nostalgia over #CelebrateAfricanCulture event which took place a few weeks ago at the #NewAfrikaShrine…",FALSE,0,NA,2018-08-04 00:05:33,FALSE,NA,"1025533160564699136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Akinbabson",14,TRUE,FALSE,NA,NA,"akure","en","http://pbs.twimg.com/profile_images/1010650690828546048/OOZuoFlg_normal.jpg"
"@ecobank_nigeria Pay that school fees on ya Phone #ecobankmobileapp",FALSE,0,"ecobank_nigeria",2018-08-04 00:05:02,FALSE,"1025432989054976001","1025533028347637761","4416548975","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Akinbabson",0,FALSE,FALSE,NA,NA,"akure","en","http://pbs.twimg.com/profile_images/1010650690828546048/OOZuoFlg_normal.jpg"
"RT @ecobank_nigeria: The ultimate way to predict your children's future is to create it. 

With Ecobank's payments solutions, you can make…",FALSE,0,NA,2018-08-04 00:04:13,FALSE,NA,"1025532825209106436",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Akinbabson",6,TRUE,FALSE,NA,NA,"akure","en","http://pbs.twimg.com/profile_images/1010650690828546048/OOZuoFlg_normal.jpg"
"@ecobank_nigeria pls, I need 2 make use of d mobile app,it got blocked and i'm yet to rectify, need help online there's no branch close by.",FALSE,0,"ecobank_nigeria",2018-08-03 23:10:42,FALSE,NA,"1025519355717713920","4416548975","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaryJBabs",0,FALSE,FALSE,NA,NA,"Lagos","en","http://pbs.twimg.com/profile_images/842400586238697475/S1FCJFGs_normal.jpg"
"Please help me I can't make any withdrawal from my ecobank account . I need urgent help  @ecobank_nigeria",FALSE,0,NA,2018-08-03 23:08:59,FALSE,NA,"1025518926241955840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdiariT",0,FALSE,FALSE,NA,NA,"Abuja, Nigeria","en","http://pbs.twimg.com/profile_images/773645593952542720/ExRBnSoo_normal.jpg"
