"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@MyFCMB 
Please what is the bank sort code?",FALSE,0,"MyFCMB",2018-08-04 05:59:55,FALSE,NA,"1025622341429211136","819860666","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ahmad_olayinka",0,FALSE,FALSE,NA,NA,"Kano, Nigeria","en","http://pbs.twimg.com/profile_images/1025455177233514498/jfmDd_rQ_normal.jpg"
"RT @Datoofthecreeks: Here's what @SigmaPensions did with CFC busstop &amp; market junction busstop in Port-Harcourt.
This is what I've been sug…",FALSE,0,NA,2018-08-03 23:53:07,FALSE,NA,"1025530030150045698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsPelz",6,TRUE,FALSE,NA,NA,"Abuja,Nigeria","en","http://pbs.twimg.com/profile_images/741209792790863874/sIE0LbP1_normal.jpg"
"Hello @MyFCMB wat is the minimum age to open a savings account",FALSE,0,NA,2018-08-03 22:50:11,FALSE,NA,"1025514195108995073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alimisulaiimon",0,FALSE,FALSE,NA,NA,"Ogun, Nigeria","en","http://pbs.twimg.com/profile_images/1022893003873169408/-upSwDmM_normal.jpg"
"RT @MyFCMB: Observing.... https://t.co/1I9oB2J3r0",FALSE,0,NA,2018-08-03 22:32:08,FALSE,NA,"1025509650396000257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jibril_alkali",524,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1025509802548645888/QJeMU7g0_normal.jpg"
"@MyFCMB egbami o!! I tried recharging my line today, unfortunately, I got debited without my line being credited. ""… https://t.co/O8XVR9YshX",FALSE,0,"MyFCMB",2018-08-03 21:02:14,TRUE,NA,"1025487025716244481","819860666","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","the_bolaji",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/976386661666914304/Rb5AhneL_normal.jpg"
"@MyFCMB Done thanks",FALSE,0,"MyFCMB",2018-08-03 19:34:11,FALSE,"1025346937179066369","1025464867787038721","819860666","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mirabelz_099",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/848448131784200193/BQsSocaw_normal.jpg"
"@bettyvonlittle @MyFCMB @ZenithBank Come let me give you sugar daddy <f0><U+009F><U+0092><U+0081><f0><U+009F><U+008F><U+00BD><U+200D><U+2640><U+FE0F>",FALSE,2,"bettyvonlittle",2018-08-03 19:00:57,FALSE,"1025456372845096960","1025456504210640901","370749550","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alassandrv",0,FALSE,FALSE,NA,NA,"In the world <f0><U+009F><U+008C><U+008E> ","en","http://pbs.twimg.com/profile_images/1024564493517565952/eX5YjJHL_normal.jpg"
"@Alassandrv @MyFCMB @ZenithBank Biko pls they should ambassador me. Fenty beauty wont pay for itself<f0><U+009F><U+0098><U+00A9>",FALSE,0,"Alassandrv",2018-08-03 19:00:26,FALSE,"1025456175645708289","1025456372845096960","1464271710","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bettyvonlittle",0,FALSE,FALSE,NA,NA,"Shudderingham","en","http://pbs.twimg.com/profile_images/977509528337108992/z8e41fvv_normal.jpg"
"@bettyvonlittle @MyFCMB @ZenithBank Don’t worry. They’ll soon make you an ambassador.",FALSE,1,"bettyvonlittle",2018-08-03 18:59:38,FALSE,"1025455964546379777","1025456175645708289","370749550","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alassandrv",0,FALSE,FALSE,NA,NA,"In the world <f0><U+009F><U+008C><U+008E> ","en","http://pbs.twimg.com/profile_images/1024564493517565952/eX5YjJHL_normal.jpg"
"@Alassandrv @MyFCMB Switch to @ZenithBank for that stress free life boo<U+2728><U+2728>",FALSE,0,"Alassandrv",2018-08-03 18:58:48,FALSE,"1025436352823939073","1025455964546379777","1464271710","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bettyvonlittle",0,FALSE,FALSE,NA,NA,"Shudderingham","en","http://pbs.twimg.com/profile_images/977509528337108992/z8e41fvv_normal.jpg"
