"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"RT @FQFestNOLA: The legend is in the house! @nolajazzmuseum #satchmo18 @Chevron #jazzlegend @fidelitybankplc https://t.co/tIymDwhrpr",FALSE,0,NA,2018-08-03 22:08:50,FALSE,NA,"1025503787283361792",NA,"<a href=""http://www.yoono.com"" rel=""nofollow"">yoono</a>","NOLAMixn",4,TRUE,FALSE,NA,NA,"New Orleans, LA","en","http://pbs.twimg.com/profile_images/950936371916607489/OJw5I9rN_normal.jpg"
"Hi @fidelitybankplc Please check your Dm.",FALSE,0,NA,2018-08-03 21:47:15,FALSE,NA,"1025498354481029120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brosOche",0,FALSE,FALSE,NA,NA,"Lagos,Nigeria","en","http://pbs.twimg.com/profile_images/1004806660097966080/ABaFlfE-_normal.jpg"
"RT @FQFestNOLA: The legend is in the house! @nolajazzmuseum #satchmo18 @Chevron #jazzlegend @fidelitybankplc https://t.co/tIymDwhrpr",FALSE,0,NA,2018-08-03 21:44:41,FALSE,NA,"1025497710399500288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","carmelarappazzo",4,TRUE,FALSE,NA,NA,"New Orleans, LA","en","http://pbs.twimg.com/profile_images/1003374495535493120/wZOKzZhD_normal.jpg"
"RT @FQFestNOLA: The legend is in the house! @nolajazzmuseum #satchmo18 @Chevron #jazzlegend @fidelitybankplc https://t.co/tIymDwhrpr",FALSE,0,NA,2018-08-03 21:22:49,FALSE,NA,"1025492208730992640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nolajazzmuseum",4,TRUE,FALSE,NA,NA,"New Orleans, LA","en","http://pbs.twimg.com/profile_images/875396390209376257/4jZ7BJrk_normal.jpg"
"RT @FQFestNOLA: The legend is in the house! @nolajazzmuseum #satchmo18 @Chevron #jazzlegend @fidelitybankplc https://t.co/tIymDwhrpr",FALSE,0,NA,2018-08-03 21:22:48,FALSE,NA,"1025492202703781888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","steedmrspeel",4,TRUE,FALSE,NA,NA,"Chicago","en","http://pbs.twimg.com/profile_images/1664958026/photo_normal.JPG"
"The legend is in the house! @nolajazzmuseum #satchmo18 @Chevron #jazzlegend @fidelitybankplc https://t.co/tIymDwhrpr",FALSE,14,NA,2018-08-03 21:19:07,FALSE,NA,"1025491276022652931",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FQFestNOLA",4,FALSE,FALSE,NA,NA,"New Orleans","en","http://pbs.twimg.com/profile_images/984487634608287749/1HH_vBDO_normal.jpg"
"RT @fidelitybankplc: Hello Summer!!!
Make the best of the season with your Fidelity Bank card.
You can visit the nearest Fidelity Bank bran…",FALSE,0,NA,2018-08-03 20:13:30,FALSE,NA,"1025474761772740608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oluseysco",1,TRUE,FALSE,NA,NA,"Benin-City, Nigeria","en","http://pbs.twimg.com/profile_images/1015639579800588289/7dXZGnpF_normal.jpg"
"@fidelitybankplc Please you need to look into the situation at ur branch ATM in ibeju-lekki local government secret… https://t.co/rjbgP3bnKR",FALSE,0,"fidelitybankplc",2018-08-03 18:58:28,TRUE,NA,"1025455878395387904","59601797","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adebayoafeez360",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/963117439092494337/d1kX4A0O_normal.jpg"
"@fidelitybankplc your website is slow Sha.... Later you will tell me it's network.",FALSE,0,"fidelitybankplc",2018-08-03 17:53:05,FALSE,NA,"1025439425415835649","59601797","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KLAZEMATICS",0,FALSE,FALSE,NA,NA,"Abuja","en","http://pbs.twimg.com/profile_images/911585840811429889/HEVt_raK_normal.jpg"
"RT @ja_daniel01: But right now I'm having a second thought about @Sterling_Bankng , @DiamondBankNG also kept watch to wish me happy birthda…",FALSE,0,NA,2018-08-03 17:17:58,FALSE,NA,"1025430588117929984",NA,"<a href=""http://www.wetinhappen.com.ng"" rel=""nofollow"">AniekanRT</a>","aniekanekah",1,TRUE,FALSE,NA,NA,"Akwa Ibom, Nigeria","en","http://pbs.twimg.com/profile_images/957024663615533056/GNZCG_yx_normal.jpg"
