"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@SkyeBankNigeria Can't I send this documents to your customer service email and have this done without going to the… https://t.co/D1r8Wx20to",FALSE,0,"SkyeBankNigeria",2018-08-04 05:57:04,TRUE,"1025610824776396800","1025621623561506818","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SmithSuccess1",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/970738841287057408/LBBgdyMH_normal.jpg"
"@SkyeBankNigeria I would like to upgrade my account with the bank to a savings account.",FALSE,0,"SkyeBankNigeria",2018-08-04 02:24:55,FALSE,NA,"1025568231124344834","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SmithSuccess1",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/970738841287057408/LBBgdyMH_normal.jpg"
"@SkyeBankNigeria Have sent it 
But I haven't gotten any reply",FALSE,0,"SkyeBankNigeria",2018-08-04 00:21:00,FALSE,"1025371933813161984","1025537046440493056","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kvnqskivich",0,FALSE,FALSE,NA,NA,"Lagos,Nigeria","en","http://pbs.twimg.com/profile_images/992907385697193985/gjHS-r95_normal.jpg"
"Na 3k Dey my account abeg and I need am before I was noticed that my account has been restricted  @SkyeBankNigeria",FALSE,0,"Alhajisnoweezy",2018-08-03 21:52:55,FALSE,"1025499599837032449","1025499780435324936","3306660303","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alhajisnoweezy",0,FALSE,FALSE,NA,NA,"Ogun, Nigeria","en","http://pbs.twimg.com/profile_images/1002942952925167618/cRDM5W_-_normal.jpg"
"@SkyeBankNigeria sum weeks ago y’all be running mouth about best banks,abeg what do you have to say about my accoun… https://t.co/2ryECedL3q",FALSE,0,"SkyeBankNigeria",2018-08-03 21:52:12,TRUE,NA,"1025499599837032449","392750442","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alhajisnoweezy",0,FALSE,FALSE,NA,NA,"Ogun, Nigeria","en","http://pbs.twimg.com/profile_images/1002942952925167618/cRDM5W_-_normal.jpg"
"@SkyeBankNigeria Hey folks. I recharged my data bundle from my mobile app. Of the two phone numbers connected to th… https://t.co/xQK4mI55zW",FALSE,0,"SkyeBankNigeria",2018-08-03 20:57:49,TRUE,NA,"1025485914137612288","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itz_olumide",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/1005963692268236800/agekit0M_normal.jpg"
"@SkyeBankNigeria  My bank acc needs to be sorted out...  Money was sent to my acc and i didn't get it.... Please i need help",FALSE,0,"SkyeBankNigeria",2018-08-03 20:48:36,FALSE,NA,"1025483597187297280","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YoungKylez",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/1005564180173385728/ghAHjd1h_normal.jpg"
"@SkyeBankNigeria please how do i get the customer care number???",FALSE,0,"SkyeBankNigeria",2018-08-03 20:46:54,FALSE,NA,"1025483169661898753","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YoungKylez",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/1005564180173385728/ghAHjd1h_normal.jpg"
"@SkyeBankNigeria Been calling for 9 mins now, nobody dey pick. Only listening to Katy Perry's boring song",FALSE,0,"SkyeBankNigeria",2018-08-03 19:16:59,FALSE,"1025444139545108482","1025460538892013570","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nellsonpapi",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/1022571635352723464/v0T8NXNm_normal.jpg"
"all banks in nigeria are the biggest criminal ever 
@MyFCMB @gtbank @SkyeBankNigeria @Sterling_Bankng @UBAGroup (al… https://t.co/Nmuv6OQYVn",FALSE,0,NA,2018-08-03 18:22:56,TRUE,NA,"1025446936172748804",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ellianasmith007",0,FALSE,FALSE,NA,NA,"Atlanta, GA","en","http://pbs.twimg.com/profile_images/997214330780188672/6IVG4rLG_normal.jpg"
"@SkyeBankNigeria 1 month now counting and yet my money hasn’t been reversed and it killing me,I am fucking broke an… https://t.co/nZYgVFtwJg",FALSE,0,"SkyeBankNigeria",2018-08-03 18:06:01,TRUE,"1025362620847742976","1025442679444922369","392750442","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mr__HOH",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/1024364694868516866/RzdSfoTD_normal.jpg"
"@SkyeBankNigeria thank you guys
If you noe, you noe.",FALSE,0,"SkyeBankNigeria",2018-08-03 17:46:49,FALSE,NA,"1025437849800376320","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","3allo_FREY",0,FALSE,FALSE,NA,NA,"Heaven","en","http://pbs.twimg.com/profile_images/741154854853283840/8IZ6CS3e_normal.jpg"
"@SkyeBankNigeria Skye bank, i transferred cash into my account from uba bank account. But e never enter my skye ban… https://t.co/1fJ5AouKfL",FALSE,0,"SkyeBankNigeria",2018-08-03 17:46:08,TRUE,"1025362620847742976","1025437678697897985","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nellsonpapi",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/1022571635352723464/v0T8NXNm_normal.jpg"
"@SkyeBankNigeria i made ussd transfer earlier to my other account and get credited and debit back in a min twice an… https://t.co/TSnt30FY45",FALSE,0,"SkyeBankNigeria",2018-08-03 17:32:13,TRUE,NA,"1025434174499553280","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","babatie01",0,FALSE,FALSE,NA,NA,"lagos nigeria","en","http://pbs.twimg.com/profile_images/970901310227845121/EzYMDZzO_normal.jpg"
"@SkyeBankNigeria
I have been trying to use your *833# service and it is not going through, and now I have my accoun… https://t.co/Ju374lIRhP",FALSE,0,"SkyeBankNigeria",2018-08-03 17:17:35,TRUE,NA,"1025430490436841472","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Eliasdapo",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/768094210775977985/0ho6cESH_normal.jpg"
"@SkyeBankNigeria I got the below message yesterday only for me to be banned from withdrawing today.  According to t… https://t.co/z6fg8soouo",FALSE,0,"SkyeBankNigeria",2018-08-03 16:38:55,TRUE,NA,"1025420762394636289","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","opemipooluwole",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/987068112410378240/w1vavs-q_normal.jpg"
"@SkyeBankNigeria 
Those times our Grandparents <f0><U+009F><U+0091><U+00B4> tell us stories on how they build their #houses with less than N1k… https://t.co/DBmAjah60N",FALSE,0,"SkyeBankNigeria",2018-08-03 16:14:41,TRUE,NA,"1025414661372633088","392750442","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","360degreeemnpr",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/558274615768670208/uFUq9PU4_normal.jpeg"
"@SkyeBankNigeria goodafternoon, what code can i use to check my BVN number. thank u",FALSE,0,"SkyeBankNigeria",2018-08-03 16:11:13,FALSE,NA,"1025413788919640065","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DayoExodus",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1021154622004760578/1IAcigkp_normal.jpg"
"BRAND NEW BULLION VANS FOR SALE

CALL 08022226573 FOR PRICE AND DETAILS. 

@gtbank @wemabank @SkyeBankNigeria… https://t.co/WtYEMvstpE",FALSE,0,NA,2018-08-03 15:56:06,TRUE,NA,"1025409984388063232",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","tholuinspire",0,FALSE,FALSE,NA,NA,"tholuinspire@gmail.com","en","http://pbs.twimg.com/profile_images/1022139260642766849/km1LDZcB_normal.jpg"
"@FBN_help @Quickteller you guys need   to do meeting and condition and  find out where my money dey  @SkyeBankNigeria",FALSE,0,"Earth_Net",2018-08-03 15:54:40,FALSE,"1024632371432382464","1025409625561157632","725807269590519808","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Earth_Net",0,FALSE,FALSE,NA,NA,"Bradford","en","http://pbs.twimg.com/profile_images/992337720956653568/XUEvtCTl_normal.jpg"
"BRAND NEW BULLION VANS FOR SALE

CALL 08022226573 FOR PRICE AND DETAILS. 

@Gidi_Traffic
@gtbank @wemabank… https://t.co/u068Iyg2Dd",FALSE,0,NA,2018-08-03 15:51:53,TRUE,NA,"1025408926370676742",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tholuinspire",0,FALSE,FALSE,NA,NA,"tholuinspire@gmail.com","en","http://pbs.twimg.com/profile_images/1022139260642766849/km1LDZcB_normal.jpg"
"@SkyeBankNigeria @Onyeti1 @FirstBankngr @Quickteller @FBN_help hey I am sender 50000 was debited twice
on my accoun… https://t.co/jmHV85HA45",FALSE,0,"Earth_Net",2018-08-03 15:45:36,TRUE,"1025406155105943552","1025407345000628225","725807269590519808","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Earth_Net",0,FALSE,FALSE,NA,NA,"Bradford","en","http://pbs.twimg.com/profile_images/992337720956653568/XUEvtCTl_normal.jpg"
"@SkyeBankNigeria a transaction was made via mobile transfer around 10am 03/08/18 the sender was debited but am yet… https://t.co/UdNSwpCURw",FALSE,0,"SkyeBankNigeria",2018-08-03 15:42:41,TRUE,NA,"1025406608774451201","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OyNov1st",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/952981001524957185/yqOMs283_normal.jpg"
"@SkyeBankNigeria @Onyeti1 @FirstBankngr @Quickteller @FBN_help hey I am sender   50000 was debited twice on my acco… https://t.co/QcFWsiOxop",FALSE,0,"SkyeBankNigeria",2018-08-03 15:40:53,TRUE,"1025319813474865152","1025406155105943552","392750442","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Earth_Net",0,FALSE,FALSE,NA,NA,"Bradford","en","http://pbs.twimg.com/profile_images/992337720956653568/XUEvtCTl_normal.jpg"
"Hello @SkyeBankNigeria 
You guys have started with your unempathetic service to customers. 
Kindly reply to my Inbox message.",FALSE,0,NA,2018-08-03 14:57:47,FALSE,NA,"1025395310833610754",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LanreShaper",0,FALSE,FALSE,NA,NA,"University of Sussex, England","en","http://pbs.twimg.com/profile_images/1024280620934082560/LIA9f6FK_normal.jpg"
"I think it's high time @cenbank shuts @SkyeBankNigeria Before it creates a state of chaos in the industry. My two bits.",FALSE,0,NA,2018-08-03 14:24:59,FALSE,NA,"1025387054656565248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gbengabomojo",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/3090597454/a87e3eebae68db3cdfc3ed5d0ccc1b62_normal.jpeg"
"@SkyeBankNigeria When you people will not do simple reversal over 10 weeks.. how will weekend start?  SMH",FALSE,0,"SkyeBankNigeria",2018-08-03 13:55:40,FALSE,"1025362620847742976","1025379678683627520","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deji_mays",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/940644928371220480/mhEKPvF3_normal.jpg"
"I need the Skye bank help account...
I made a transaction that failed and my money was deducted @SkyeBankNigeria",FALSE,0,NA,2018-08-03 13:22:14,FALSE,NA,"1025371264716812288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kvnqskivich",0,FALSE,FALSE,NA,NA,"Lagos,Nigeria","en","http://pbs.twimg.com/profile_images/992907385697193985/gjHS-r95_normal.jpg"
"RT @SkyeBankNigeria: Win an instant Prize in the Skye Money Transfer Promo. https://t.co/0cmKx1wzs4",FALSE,0,NA,2018-08-03 12:17:11,FALSE,NA,"1025354895120125952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JighereS",42,TRUE,FALSE,NA,NA,"Lagos","en","http://pbs.twimg.com/profile_images/1025388489217646592/nWWcDrFz_normal.jpg"
"@SkyeBankNigeria PRIDENATIONZ your #1 
Nationz best friendly 
ADVERTISING website ,
Please Feel free to ask any Que… https://t.co/hK6z6ml7Ri",FALSE,0,"SkyeBankNigeria",2018-08-03 11:41:53,TRUE,NA,"1025346010166517765","392750442","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","PNationz",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1020661574355341312/udOgMRqL_normal.jpg"
"@SkyeBankNigeria @Onyeti1 @FirstBankngr @Quickteller @FBN_help PRIDENATIONZ your #1 
Nationz best friendly 
ADVERTI… https://t.co/evTLBaDUjC",FALSE,0,"SkyeBankNigeria",2018-08-03 11:40:29,TRUE,"1025319813474865152","1025345659468165120","392750442","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","PNationz",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1020661574355341312/udOgMRqL_normal.jpg"
"RT @bukkyboyluv01: This man need help and justice. I had the story life on radio I was shedding tears.. This is wickedness @PoliceNG @follo…",FALSE,0,NA,2018-08-03 11:25:44,FALSE,NA,"1025341946871664647",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ItzPatrick1",4,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"RT @Callychinedu: @SkyeBankNigeria 
Why do I at times receive fucking debit alerts of #100+.
The last time it happened it suspended me from…",FALSE,0,NA,2018-08-03 10:35:24,FALSE,NA,"1025329278500659200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Callychinedu",1,TRUE,FALSE,NA,NA,"Anambra, Nigeria","en","http://pbs.twimg.com/profile_images/997817850093101058/X7a3wFJ2_normal.jpg"
"@SkyeBankNigeria 
Why do I at times receive fucking debit alerts of #100+.
The last time it happened it suspended m… https://t.co/iwcnZ9BMle",FALSE,1,"SkyeBankNigeria",2018-08-03 10:35:09,TRUE,NA,"1025329215451947008","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Callychinedu",1,FALSE,FALSE,NA,NA,"Anambra, Nigeria","en","http://pbs.twimg.com/profile_images/997817850093101058/X7a3wFJ2_normal.jpg"
"@SkyeBankNigeria @FirstBankngr @Quickteller @FBN_help or you tell  ur Channels Operations to their mails",FALSE,0,"SkyeBankNigeria",2018-08-03 10:26:55,FALSE,"1025319813474865152","1025327145344790528","392750442","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Onyeti1",0,FALSE,FALSE,NA,NA,"lagos","en","http://pbs.twimg.com/profile_images/725453194587979777/bzFsNblp_normal.jpg"
"@SkyeBankNigeria @FirstBankngr @Quickteller @FBN_help  https://t.co/3ri1QsBAHz",FALSE,0,"SkyeBankNigeria",2018-08-03 10:13:11,FALSE,"1025319813474865152","1025323688432947201","392750442","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Onyeti1",0,FALSE,FALSE,NA,NA,"lagos","en","http://pbs.twimg.com/profile_images/725453194587979777/bzFsNblp_normal.jpg"
"@SkyeBankNigeria @FirstBankngr @Quickteller @FBN_help see the full  details here https://t.co/V4elbVeH2I",FALSE,0,"SkyeBankNigeria",2018-08-03 10:09:24,FALSE,"1025319813474865152","1025322737416515584","392750442","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Onyeti1",0,FALSE,FALSE,NA,NA,"lagos","en","http://pbs.twimg.com/profile_images/725453194587979777/bzFsNblp_normal.jpg"
"@SkyeBankNigeria hey tell &lt;echannelsoperations@skyebankng.com&gt; to check ur mail box  &lt;support@interswitchng.com&gt; se… https://t.co/tKJWZnUMMS",FALSE,0,"SkyeBankNigeria",2018-08-03 09:53:12,TRUE,NA,"1025318659336613888","392750442","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Earth_Net",0,FALSE,FALSE,NA,NA,"Bradford","en","http://pbs.twimg.com/profile_images/992337720956653568/XUEvtCTl_normal.jpg"
"RT @SkyeBankNigeria: Register today to use the *833# Smart Code and carry out transactions easily.
#youareincontrol https://t.co/cbK6hf0jqU",FALSE,0,NA,2018-08-03 09:47:19,FALSE,NA,"1025317176696295425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fogosi1",4,TRUE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/2073311568/MA99_edited_normal.jpg"
"@SkyeBankNigeria 100,000 50 50k twice",FALSE,0,"SkyeBankNigeria",2018-08-03 09:46:41,FALSE,"1025316611165700097","1025317019997163520","392750442","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Onyeti1",0,FALSE,FALSE,NA,NA,"lagos","en","http://pbs.twimg.com/profile_images/725453194587979777/bzFsNblp_normal.jpg"
"@SkyeBankNigeria @FirstBankngr @Quickteller @FBN_help 50,000 twice making 100k",FALSE,0,"SkyeBankNigeria",2018-08-03 09:42:42,FALSE,"1025315716604588034","1025316016472186881","392750442","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Onyeti1",0,FALSE,FALSE,NA,NA,"lagos","en","http://pbs.twimg.com/profile_images/725453194587979777/bzFsNblp_normal.jpg"
"@SkyeBankNigeria  you guys need to say something about this https://t.co/EoZHOSI7CE",FALSE,0,"SkyeBankNigeria",2018-08-03 09:32:34,FALSE,NA,"1025313464779268096","392750442","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Onyeti1",0,FALSE,FALSE,NA,NA,"lagos","en","http://pbs.twimg.com/profile_images/725453194587979777/bzFsNblp_normal.jpg"
"@SkyeBankNigeria my friend has been unable to operate her account over three months, even after several complaints… https://t.co/qQZpuBdbPi",FALSE,0,"SkyeBankNigeria",2018-08-03 09:11:36,TRUE,NA,"1025308190253178880","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kehindeawosusi",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/1007680504097845253/tv1aanVw_normal.jpg"
"Your okeilewo branch @SkyeBankNigeria do not know anything about customer service.",FALSE,0,NA,2018-08-03 09:04:44,FALSE,NA,"1025306460060876800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","makkymaks",0,FALSE,FALSE,NA,NA,"ÜT: 6.69117,3.240127","en","http://pbs.twimg.com/profile_images/1010666693801234432/VnMIMlTe_normal.jpg"
"@OgbeniDipo I've requested to cancel SMS notification several times with @SkyeBankNigeria but they won't approve this.",FALSE,0,"OgbeniDipo",2018-08-03 09:04:35,FALSE,"1024921242627964929","1025306425977909248","153529375","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","awards_swift",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1008122111720939521/yq_8i6u9_normal.jpg"
"RT @bukkyboyluv01: This man need help and justice. I had the story life on radio I was shedding tears.. This is wickedness @PoliceNG @follo…",FALSE,0,NA,2018-08-03 08:38:31,FALSE,NA,"1025299865218232320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FAyinuola",4,TRUE,FALSE,NA,NA,"Lekki","en","http://pbs.twimg.com/profile_images/1016412034899070976/icxUcHIa_normal.jpg"
"@SkyeBankNigeria why is no one responding to my complaints despite the severity of my complaints?this is the… https://t.co/9PR47qC6vg",FALSE,0,"SkyeBankNigeria",2018-08-03 08:31:53,TRUE,NA,"1025298196703133696","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","goldalms",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/857548962286456832/x-_nqVRZ_normal.jpg"
"RT @bukkyboyluv01: This man need help and justice. I had the story life on radio I was shedding tears.. This is wickedness @PoliceNG @follo…",FALSE,0,NA,2018-08-03 07:52:45,FALSE,NA,"1025288348439601152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamibim",4,TRUE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/1003893265014448128/zlOszlGz_normal.jpg"
"@SkyeBankNigeria your service is so disgusting.... This is nigeria",FALSE,0,"SkyeBankNigeria",2018-08-03 07:34:35,FALSE,NA,"1025283773653549056","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eleyingold",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/995606002908135424/CMVa_FCI_normal.jpg"
"RT @ptecssan: Workers' Day 2018, @heritagebankltd @gtbank @StanbicIBTC @UNIONBANK_NG @FirstBankngr @fidelitybankplc @ZenithBank @GroupEcoba…",FALSE,0,NA,2018-08-03 07:15:02,FALSE,NA,"1025278856477978624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osmoses_",4,TRUE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/962410976736874501/Pjy-t9OC_normal.jpg"
"@SkyeBankNigeria 08027608214",FALSE,0,"SkyeBankNigeria",2018-08-03 06:34:38,FALSE,"1025268473704992768","1025268689338359808","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HamzatOriyomi2",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/937200301525872642/ELEPcN4x_normal.jpg"
"@SkyeBankNigeria from my acct and I did called to complain about an agent told she was gonna send the complain to s… https://t.co/oPMvm5ws8P",FALSE,0,"SkyeBankNigeria",2018-08-03 06:25:07,TRUE,NA,"1025266292863975425","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HamzatOriyomi2",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/937200301525872642/ELEPcN4x_normal.jpg"
"@SkyeBankNigeria pls wat happening, I did a transacting with my ATM card on 13 of July I was debited 20k and but th… https://t.co/cKhfmCI4Z7",FALSE,0,"SkyeBankNigeria",2018-08-03 06:22:09,TRUE,NA,"1025265548341518336","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HamzatOriyomi2",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/937200301525872642/ELEPcN4x_normal.jpg"
"@SkyeBankNigeria I can't understand why after probating, and a letter send to your bank for approval and payment, s… https://t.co/HwB7a9MTKC",FALSE,0,"SkyeBankNigeria",2018-08-02 23:38:14,TRUE,NA,"1025163898230636549","392750442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vlntnda7",0,FALSE,FALSE,NA,NA,"Abuja Nigeria","en","http://pbs.twimg.com/profile_images/798264713582931968/vu7oUqu6_normal.jpg"
"RT @bukkyboyluv01: This man need help and justice. I had the story life on radio I was shedding tears.. This is wickedness @PoliceNG @follo…",FALSE,0,NA,2018-08-02 22:48:45,FALSE,NA,"1025151445522366466",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bukkyboyluv01",4,TRUE,FALSE,NA,NA,"abuja","en","http://pbs.twimg.com/profile_images/1017026218909224960/RlrOVqnQ_normal.jpg"
