"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@UBACares 08098693567",FALSE,0,"UBACares",2018-08-04 05:04:41,FALSE,"1006166121068875777","1025608439534379008","722324374095839232","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","magajiarsenal2",0,FALSE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"@UBACares Please call again. I am available",FALSE,0,"UBACares",2018-08-03 21:05:21,FALSE,"1025452919712350209","1025487811754041346","722324374095839232","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","King_dayved",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1017375853423071232/iI_aSsA5_normal.jpg"
"@UBACares Good evening. I cannot pay for my DSTV subscription using my Umobile app.  It appears the new subscriptio… https://t.co/VDJFrVjHdD",FALSE,0,"UBACares",2018-08-03 20:24:01,TRUE,NA,"1025477410664402945","722324374095839232","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fredola47",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/595219189767360512/iovQodIf_normal.jpg"
"Dear @DiamondBankHelp  it's 2months since I was shortpayed at @UBACares terminal. I've seen diamond revert other ba… https://t.co/BNQG4CdBC8",FALSE,0,NA,2018-08-03 19:56:45,TRUE,NA,"1025470546975383558",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","temidayo_capo",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/814281009088827392/Y7Ml7zJl_normal.jpg"
"@UBACares 2085474956
08100377827 (phone number)
femisamuel04@gmail.com
Thank you",FALSE,0,"UBACares",2018-08-03 18:02:25,FALSE,"1025437389471338496","1025441776230981632","722324374095839232","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jodabouy",0,FALSE,FALSE,NA,NA,"Ibadan","en","http://pbs.twimg.com/profile_images/869834014970044416/Lw-v5uBu_normal.jpg"
"@UBACares Well thanks for the time we spent together it's time to take a bow. My token can not affect your income c… https://t.co/SniEWqzrb4",FALSE,0,"UBACares",2018-08-03 17:44:42,TRUE,"1025435350217502720","1025437313944436736","722324374095839232","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","XALTCREW",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/862031448232144898/_ev8ehXe_normal.jpg"
"@UBACares I guess your customer service section needs overhauling. During the period of deposit I never had anyone… https://t.co/7xgs1nM9Ch",FALSE,0,"UBACares",2018-08-03 17:41:13,TRUE,"1025435350217502720","1025436439159431168","722324374095839232","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","XALTCREW",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/862031448232144898/_ev8ehXe_normal.jpg"
"@UBACares Why on Earth would you freeze my account when I am not a public servant, I had an emmergency now and I co… https://t.co/gLMyuhbozy",FALSE,0,"UBACares",2018-08-03 17:25:23,TRUE,NA,"1025432453459177474","722324374095839232","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","XALTCREW",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/862031448232144898/_ev8ehXe_normal.jpg"
"@UBACares I need you to deactivate my ATM ASAP. I just misplaced it. Please make it fast",FALSE,0,"UBACares",2018-08-03 17:12:45,FALSE,NA,"1025429274541678592","722324374095839232","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jodabouy",0,FALSE,FALSE,NA,NA,"Ibadan","en","http://pbs.twimg.com/profile_images/869834014970044416/Lw-v5uBu_normal.jpg"
"@UBACares Hello",FALSE,0,"UBACares",2018-08-03 16:28:27,FALSE,NA,"1025418125884485634","722324374095839232","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Da_moxy",0,FALSE,FALSE,NA,NA,"Planet Earth","en","http://pbs.twimg.com/profile_images/1018945115711303686/a00hCYj1_normal.jpg"
