"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"RT @Datoofthecreeks: Here's what @SigmaPensions did with CFC busstop &amp; market junction busstop in Port-Harcourt.
This is what I've been sug…",FALSE,0,NA,2018-08-03 23:53:07,FALSE,NA,"1025530030150045698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsPelz",6,TRUE,FALSE,NA,NA,"Abuja,Nigeria","en","http://pbs.twimg.com/profile_images/741209792790863874/sIE0LbP1_normal.jpg"
"@wemabank ant man..  hehe",FALSE,0,"wemabank",2018-08-03 23:49:32,FALSE,"1025331687750807552","1025529127699402752","192847676","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","femishiekz",0,FALSE,FALSE,NA,NA,"lagos, nigeria","en","http://pbs.twimg.com/profile_images/950625670522200064/OMj_MtZ6_normal.jpg"
"RT @wemabank: As you create beautiful memories this summer, we’ll be making your spending easy and convenient with your Wema Bank and ALAT…",FALSE,0,NA,2018-08-03 21:04:31,FALSE,NA,"1025487600835080192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","henspy",13,TRUE,FALSE,NA,NA,"Lagos","en","http://pbs.twimg.com/profile_images/3300427638/b7bc0ba24c30c187c06065529f468574_normal.jpeg"
"@dhruminshah1 @TheSociaLiga @alat_ng @wemabank @dannaz_fc @TheRaineriFC @BravosKnightsFC @CitizensFc_ @thexiiplayer… https://t.co/6iq7e9EbsD",FALSE,0,"dhruminshah1",2018-08-03 19:42:30,TRUE,"1025415305693196288","1025466962502189056","313099877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SocialigaPidgin",0,FALSE,FALSE,NA,NA,"Lagos","en","http://pbs.twimg.com/profile_images/888559874027790336/s35KgGqd_normal.jpg"
"RT @o_johnsyne: @wemabank please I need an instant solution to an urgent issue. I just misplaced my debit card. Kindly help me block it to…",FALSE,0,NA,2018-08-03 19:36:26,FALSE,NA,"1025465432856305664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","o_johnsyne",1,TRUE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/833651232308867073/7DbSFZQA_normal.jpg"
"@wemabank please I need an instant solution to an urgent issue. I just misplaced my debit card. Kindly help me block it to avoid fraud.",FALSE,0,"wemabank",2018-08-03 19:30:52,FALSE,NA,"1025464033988804609","192847676","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","o_johnsyne",1,FALSE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/833651232308867073/7DbSFZQA_normal.jpg"
"@wemabank Antman",FALSE,0,"wemabank",2018-08-03 17:12:37,FALSE,"1025331687750807552","1025429243000496128","192847676","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SinachOkee",0,FALSE,FALSE,NA,NA,"Abuja, Nigeria","en","http://pbs.twimg.com/profile_images/1012298668639244289/FxbhJX4-_normal.jpg"
"@wemabank Spider man",FALSE,0,"wemabank",2018-08-03 16:37:32,FALSE,"1025331687750807552","1025420412799406080","192847676","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Emmadrums10",0,FALSE,FALSE,NA,NA,"nigeria","en","http://pbs.twimg.com/profile_images/971561547985235969/0RXON_r7_normal.jpg"
"@wemabank  How long will it take my mobile app log in details to be reset. I've really endure but no solution from your staffs. So Annoying",FALSE,0,"wemabank",2018-08-03 16:25:20,FALSE,"1024692744860643328","1025417341537058816","192847676","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","triplecrown1905",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/952226944740986892/BN2Eb3Li_normal.jpg"
"@TheSociaLiga @SocialigaPidgin @alat_ng @wemabank @dannaz_fc @TheRaineriFC @BravosKnightsFC @CitizensFc_… https://t.co/YDdhpGULYd",FALSE,0,"TheSociaLiga",2018-08-03 16:17:14,TRUE,"1025328991916511234","1025415305693196288","4149848889","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhruminshah1",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/799814672698540032/qkEcr0dN_normal.jpg"
