text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
@gtbank I need a good work for my younger brother sir can you help me fix him in a better post,FALSE,0,gtbank,8/4/2018 5:41,FALSE,1.00622E+18,1.02562E+18,63977305,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TaiwoAyinla2,0,FALSE,FALSE,NA,NA,,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"RT @cleanwarri: Hello

I need ur support to start a free community library in Warri

All you have to do to support is

1. Follow @gtbank on…",FALSE,0,NA,8/4/2018 5:41,FALSE,NA,1.02562E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FreebornMartha,14,TRUE,FALSE,NA,NA,,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"RT @DeboOdulana: Help us win #simplechangebigimpact 

1. Follow @gtbank on Instagram 
2. Like the post 19 by @DoctooraHealth
3. Tag 5-10 fr…",FALSE,0,NA,8/4/2018 5:38,FALSE,NA,1.02562E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NzekweGerald,29,TRUE,FALSE,NA,NA,"Lagos, Nigeria",en,http://pbs.twimg.com/profile_images/938080154349424640/H14G6PNt_normal.jpg
@samorio007 @gtbank Kindly provide your number for assistance. DA,FALSE,0,samorio007,8/4/2018 5:27,FALSE,1.02553E+18,1.02561E+18,230480004,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",GloCare,0,FALSE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/3432660526/f075394b20cfcd0009a331705d0d7559_normal.jpeg
I am not sure the card dispense error form on gtbank app is functioning? i lodged a complaint twice but i can't get… https://t.co/LhkW16b2f6,FALSE,0,NA,8/4/2018 4:59,TRUE,NA,1.02561E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abiodun_awesome,0,FALSE,FALSE,NA,NA,"ÜT: 6.59268,3.51699",en,http://pbs.twimg.com/profile_images/983394141525725184/IVOvIg7O_normal.jpg
"If by this time I'm unable to use your atm @Gtbank at PWD IKEJA,in a case of emergency, then u have failed to live… https://t.co/qZcNkpcxpZ",FALSE,0,NA,8/4/2018 4:41,TRUE,NA,1.0256E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",charlee_sway,0,FALSE,FALSE,NA,NA,"Lagos, Nigeria",en,http://pbs.twimg.com/profile_images/1018778297298276352/_419x3GX_normal.jpg
"RT @DeboOdulana: Help us win #simplechangebigimpact 

1. Follow @gtbank on Instagram 
2. Like the post 19 by @DoctooraHealth
3. Tag 5-10 fr…",FALSE,0,NA,8/4/2018 4:40,FALSE,NA,1.0256E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",qdee_l,29,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/755680329193709568/ThSGzHsn_normal.jpg
"@samywejinya This is happening to millions of Nigerians, but so many barely notices, @gtbank should be investigated… https://t.co/cqt3PeDgSG",FALSE,0,samywejinya,8/4/2018 4:25,TRUE,1.02549E+18,1.0256E+18,61867141,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ifeanyi_nwadike,0,FALSE,FALSE,NA,NA,Portharcourt,en,http://pbs.twimg.com/profile_images/1025254726143750145/v8TlZVU__normal.jpg
"RT @gtbank: From now on, you will be the first to know what we are up to. Follow us to ensure this!",FALSE,0,NA,8/4/2018 4:22,FALSE,NA,1.0256E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",TJerry06380171,201,TRUE,FALSE,NA,NA,,en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"RT @DeboOdulana: Help us win #simplechangebigimpact 

1. Follow @gtbank on Instagram 
2. Like the post 19 by @DoctooraHealth
3. Tag 5-10 fr…",FALSE,0,NA,8/4/2018 4:20,FALSE,NA,1.0256E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ChimaChimney,29,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/1005461920609112064/7X_NsFLf_normal.jpg
@DeboOdulana @gtbank @DoctooraHealth @Deekachy_md @Healthertainer @aproko_doctor @NaijaFlyingDr @waledash… https://t.co/G7C5n84tlz,FALSE,0,DeboOdulana,8/4/2018 4:20,TRUE,1.02549E+18,1.0256E+18,128727777,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ChimaChimney,0,FALSE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/1005461920609112064/7X_NsFLf_normal.jpg
"RT @samywejinya: 1, Enough is enough!!! I've noticed on so many occasions that each time I recharge my phone (airtime) via @gtbank's via my…",FALSE,0,NA,8/4/2018 4:17,FALSE,NA,1.0256E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ifeanyi_nwadike,2,TRUE,FALSE,NA,NA,Portharcourt,en,http://pbs.twimg.com/profile_images/1025254726143750145/v8TlZVU__normal.jpg
@samywejinya @gtbank @MTNNG This is just one of numerous experiences I av had,FALSE,0,ifeanyi_nwadike,8/4/2018 4:15,FALSE,1.0256E+18,1.0256E+18,9.36941E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ifeanyi_nwadike,0,FALSE,FALSE,NA,NA,Portharcourt,en,http://pbs.twimg.com/profile_images/1025254726143750145/v8TlZVU__normal.jpg
@samywejinya @gtbank @MTNNG E.g I stopped paying money there and withdrew all I had there because of the frequent h… https://t.co/4cOqIZ8LLT,FALSE,0,samywejinya,8/4/2018 4:14,TRUE,1.02548E+18,1.0256E+18,61867141,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ifeanyi_nwadike,0,FALSE,FALSE,NA,NA,Portharcourt,en,http://pbs.twimg.com/profile_images/1025254726143750145/v8TlZVU__normal.jpg
"@samywejinya @gtbank @MTNNG Hello boss, is it about @gtbank ? Those guys have finished me with hidden charges count… https://t.co/BSxo16Bhgc",FALSE,0,samywejinya,8/4/2018 4:10,TRUE,1.02548E+18,1.02559E+18,61867141,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ifeanyi_nwadike,0,FALSE,FALSE,NA,NA,Portharcourt,en,http://pbs.twimg.com/profile_images/1025254726143750145/v8TlZVU__normal.jpg
"RT @DeboOdulana: Help us win #simplechangebigimpact 

1. Follow @gtbank on Instagram 
2. Like the post 19 by @DoctooraHealth
3. Tag 5-10 fr…",FALSE,0,NA,8/4/2018 4:06,FALSE,NA,1.02559E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Koladapoojo,29,TRUE,FALSE,NA,NA,"Lagos, Nigeria",en,http://pbs.twimg.com/profile_images/952089924072853504/UymfZAD6_normal.jpg
