"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@UNIONBANK_NG @UNIONBANK_NG  customer",FALSE,0,"UNIONBANK_NG",2018-09-11 22:56:15,FALSE,"1039540279555108864","1039648845251194881","429173115","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AyekoJohn",0,FALSE,FALSE,NA,NA,"Rivers, Nigeria","en","http://pbs.twimg.com/profile_images/420395291674939392/D-6r2IM1_normal.jpeg"
"Road MAP @UNIONBANK_NG https://t.co/rvtQylEmFM",FALSE,0,NA,2018-09-11 20:53:08,FALSE,NA,"1039617862640517120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannah_dol",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1034336991578677248/rpeAEeBW_normal.jpg"
"RT @UNIONBANK_NG: I have forests but no trees.
I have lakes but no water.
I have roads but no cars.

What Am I?  

#TuesdayTrivia
#UnionBan…",FALSE,0,NA,2018-09-11 20:34:22,FALSE,NA,"1039613139816525824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chiefotee",11,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1027608844686577664/jprG17jj_normal.jpg"
"RT @UNIONBANK_NG: I have forests but no trees.
I have lakes but no water.
I have roads but no cars.

What Am I?  

#TuesdayTrivia
#UnionBan…",FALSE,0,NA,2018-09-11 19:11:50,FALSE,NA,"1039592372194238465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MOHAMMEDBUHARII",11,TRUE,FALSE,NA,NA,"Yola, Nigeria","en","http://pbs.twimg.com/profile_images/1025273200974999552/ZmRfFU0c_normal.jpg"
"@UNIONBANK_NG Govt",FALSE,0,"UNIONBANK_NG",2018-09-11 19:11:43,FALSE,"1039540279555108864","1039592340346859520","429173115","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MOHAMMEDBUHARII",0,FALSE,FALSE,NA,NA,"Yola, Nigeria","en","http://pbs.twimg.com/profile_images/1025273200974999552/ZmRfFU0c_normal.jpg"
"@UNIONBANK_NG I think you’re a map<ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",FALSE,0,"UNIONBANK_NG",2018-09-11 19:01:58,FALSE,"1039540279555108864","1039589888096698369","429173115","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ayoajibode_",0,FALSE,FALSE,NA,NA,"Lagos, Nigeria.","en","http://pbs.twimg.com/profile_images/1011767296526835713/w7J_MnO5_normal.jpg"
"@UNIONBANK_NG Tell Us more",FALSE,0,"UNIONBANK_NG",2018-09-11 17:43:20,FALSE,"1039498086240808960","1039570096862179328","429173115","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sagiyr",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/927659900435607552/2mwFLDJd_normal.jpg"
"RT @UNIONBANK_NG: I have forests but no trees.
I have lakes but no water.
I have roads but no cars.

What Am I?  

#TuesdayTrivia
#UnionBan…",FALSE,0,NA,2018-09-11 17:43:09,FALSE,NA,"1039570054105509888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Elnino_haaz",11,TRUE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/1008968501833461760/7fj2T83r_normal.jpg"
"@UNIONBANK_NG Some people don't know the answer but copy copy will kill them last last https://t.co/Z0RMixvWSd",FALSE,1,"UNIONBANK_NG",2018-09-11 17:41:24,FALSE,"1039540279555108864","1039569613774839813","429173115","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yb_ibraheem",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1037805725408550918/RagHxt75_normal.jpg"
"RT @UNIONBANK_NG: I have forests but no trees.
I have lakes but no water.
I have roads but no cars.

What Am I?  

#TuesdayTrivia
#UnionBan…",FALSE,0,NA,2018-09-11 17:30:29,FALSE,NA,"1039566863192219650",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raheemjj",11,TRUE,FALSE,NA,NA,"Katsina, Nigeria","en","http://pbs.twimg.com/profile_images/969626522528174085/vN31zw3E_normal.jpg"
