"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"RT @ZenithBank: Want to know the perfect job for you? Comment with the first word you see. 
Bank on the go with the Zenith mobile app https…",FALSE,0,NA,2018-08-04 05:48:31,FALSE,NA,"1025619470126133249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ayodex2006",4,TRUE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/785264361506017280/FkH40LOs_normal.jpg"
"@ZenithBank Writer",FALSE,0,"ZenithBank",2018-08-04 05:48:25,FALSE,"1025426074132303873","1025619446608678918","2668909476","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ayodex2006",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/785264361506017280/FkH40LOs_normal.jpg"
"RT @ZenithBank: Just dial *966*0# and follow the prompts. Another way @ZenithBank makes banking eazier. https://t.co/L3sjc87Aev",FALSE,0,NA,2018-08-04 05:47:48,FALSE,NA,"1025619289154437120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","niyih07",126,TRUE,FALSE,NA,NA,"Ijebu-Ode, Nigeria","en","http://pbs.twimg.com/profile_images/1013302414022242305/_tUuy8Tg_normal.jpg"
"RT @ZenithBank: Good morning, we're sending love, smiles &amp; joy your way for a truly happy day. 
Please retweet. #MorningTea #ThursdayThough…",FALSE,0,NA,2018-08-04 05:36:31,FALSE,NA,"1025616450441175046",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ObemeataThaddeu",125,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/846467722275962880/0hStMkrU_normal.jpg"
"@ZenithBank POLITICIAN..... Politician are the same, no one is better than other.good morning.",FALSE,0,"ZenithBank",2018-08-04 05:26:59,FALSE,"1025426074132303873","1025614049915088896","2668909476","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","9Remmy4real",0,FALSE,FALSE,NA,NA,"Nigeria ","en","http://pbs.twimg.com/profile_images/1016714184866828288/U4zk3rta_normal.jpg"
"@ZenithBank Please change the atm in my school. Landmark university",FALSE,0,"ZenithBank",2018-08-04 05:22:30,FALSE,"1025609012707028993","1025612921819353088","2668909476","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Davidokoroma",0,FALSE,FALSE,NA,NA,"Abuja","en","http://pbs.twimg.com/profile_images/652252352368525312/F-rxOmXy_normal.png"
"@ZenithBank <f0><U+009F><U+0098><U+0092><f0><U+009F><U+0098><U+0093> https://t.co/fbg4JK0r4E",FALSE,0,"ZenithBank",2018-08-04 05:01:55,FALSE,NA,"1025607743363862528","2668909476","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Davidokoroma",0,FALSE,FALSE,NA,NA,"Abuja","en","http://pbs.twimg.com/profile_images/652252352368525312/F-rxOmXy_normal.png"
"@ZenithBank Pilot",FALSE,0,"ZenithBank",2018-08-04 03:28:44,FALSE,"1025426074132303873","1025584292070604801","2668909476","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ugonwachigbo1",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/983707471809335296/KdGNtvk-_normal.jpg"
"@ZenithBank Psychologist",FALSE,0,"ZenithBank",2018-08-04 03:19:59,FALSE,"1025426074132303873","1025582089385721856","2668909476","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","babbysyl",0,FALSE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"@Gidi_Traffic @ZenithBank Psychologist lol",FALSE,0,"Gidi_Traffic",2018-08-04 03:13:56,FALSE,"1025428195154243584","1025580566702432256","378809160","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nims_k",0,FALSE,FALSE,NA,NA," Nigeria","en","http://pbs.twimg.com/profile_images/3524831921/9e17348f7fd67a1cffed1b262dc4bf3b_normal.jpeg"
"RT @ZenithBank: With over 20 years under our belt we have the insights you need. Follow us today! https://t.co/tEnHu6mjpj",FALSE,0,NA,2018-08-04 02:21:29,FALSE,NA,"1025567366900576256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdepojuOkunade",16,TRUE,FALSE,NA,NA,"Lagos, Nigeria","en","http://pbs.twimg.com/profile_images/1018289022450438144/tTCtNeDB_normal.jpg"
"@ZenithBank Rep",FALSE,0,"ZenithBank",2018-08-04 02:09:57,FALSE,"1025426074132303873","1025564464576389122","2668909476","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anni3luv01",0,FALSE,FALSE,NA,NA,"Abuja - Nigeria","en","http://pbs.twimg.com/profile_images/995082267713302528/__VCHd07_normal.jpg"
"@ZenithBank https://t.co/1Yphywaowd",FALSE,0,"ZenithBank",2018-08-04 02:08:47,FALSE,"1016971008358735872","1025564174322229250","2668909476","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mayorsky88",0,FALSE,FALSE,NA,NA,"Los Angeles, CA","en","http://pbs.twimg.com/profile_images/995454505608273921/0qrp5_S9_normal.jpg"
