text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Check dm,0,8/4/2018 5:03,False,1.02561e+18,akindelekamar,0,False,,,,en,1
Something similar happened to me since June and up till now my money hasn,0,8/4/2018 3:57,True,1.02559e+18,Almagiri,0,False,,,,en,0
Hi  I validated migrated my AC from tier  to premier saving yesterday at IbadanI received the  mes,1,8/4/2018 3:00,True,1.02558e+18,akindelekamar,0,False,,,,en,0
Segun Agbaje of Gtb,0,8/4/2018 1:45,False,1.02556e+18,Ekpedemela,0,False,,,"Lagos, Nigeria",en,1
Unable to access my mobile app need help please,0,8/4/2018 0:42,False,1.02554e+18,CharlesRegina19,0,False,,,"Accra, Ghana",en,0
free data,0,8/4/2018 0:23,False,1.02554e+18,odijo_omohz,0,False,,,,en,1
Is the person on Twitter,0,8/4/2018 0:17,False,1.02554e+18,iamHENRYCARTER,0,False,,,,en,1
please o I'm stranded this weekend I don't have an atm I'm trying to get into my account but it's not working,0,8/4/2018 0:13,False,1.02554e+18,Sheddy042,0,False,,,,en,0
What were u paying for,1,8/4/2018 0:08,False,1.02553e+18,iamHENRYCARTER,0,False,,,,en,1
Please explain what's happening here ooooooooo Dont let us be unfortunate,1,8/3/2018 23:34,False,1.02553e+18,Kgnv_Plat,1,False,,,"Ondo, Nigeria",en,0
please refund my money since you will not credit my account with airtime as requested on,0,8/3/2018 22:25,True,1.02551e+18,talkinelectdisb,0,False,,,,en,0
I don't know why   card keeps telling me this I wanted to deposit money into my online account,0,8/3/2018 21:57,True,1.0255e+18,ChrisKolly,0,False,,,Nigeria,en,0
I cant,0,8/3/2018 21:40,False,1.0255e+18,banbalistic,0,False,,,"Katsina, Nigeria",en,0
Herbert Nwigwe,0,8/3/2018 21:28,False,1.02549e+18,EgeonuChris,0,False,,,Lagos,en,1
Thank you  my complaint has been handled and I have received the alertCan Lokoja b,0,8/3/2018 21:08,True,1.02549e+18,Dan_Assabe,0,False,,,"Lokoja, Nigeria",en,1
please I purchased airtime through my account  I was debited without getting the airtime Pls assist,0,8/3/2018 20:08,False,1.02547e+18,dejiajibola294,0,False,,,"Abeokuta, Nigeria",en,1
Mr Herbert Wigwe Acess bank Group Managing Director,0,8/3/2018 19:17,False,1.02546e+18,Adesanmi01,0,False,,,"Jos,Nigeria.",en,1
Herbert Wigwe,0,8/3/2018 18:46,False,1.02545e+18,attai_okolo,0,False,,,"Abuja, Nigeria",en,1
Mr Herbert Nwigwe,0,8/3/2018 18:43,False,1.02545e+18,COnyeaba,0,False,,,,en-GB,1
since th of July My acct no,0,8/3/2018 16:45,False,1.02542e+18,tehilla_4,0,False,,,,en,0
The last lady that picked chineye the ignored me I was angry she just left me on line now they dont pick my call,0,8/3/2018 16:44,False,1.02542e+18,tehilla_4,0,False,,,,en,0
I called customer care the refuse to pick my call I am angry I need the money urgently I get the same,0,8/3/2018 16:43,True,1.02542e+18,tehilla_4,0,False,,,,en,0
Please I want to ask if its a crime to use pos My card was decline and my acct was debited on the,0,8/3/2018 16:42,True,1.02542e+18,tehilla_4,0,False,,,,en,0
Herbert Wigwe  MD Access Bank PLC,0,8/3/2018 16:37,False,1.02542e+18,otunbaunyime,0,False,,,,en,0
pls how do i retrieve my old account number I want to start banking with you guys,0,8/3/2018 16:34,True,1.02542e+18,ceeroma007,0,False,,,"Ibadan, Nigeria",en,1
your internet banking app is so frustrating I went for a password reset but your staffs are being unfair no money access,0,8/3/2018 16:31,False,1.02542e+18,triplecrown1905,0,False,,,,en,0
can u please block my account my atm card has been stolen,0,8/3/2018 16:26,False,1.02542e+18,OS_Oladapo,0,False,,,Ikorodu-Lagos,en,0
kindly reverse the payment or credit startimes DebitAmtNGN AccDescBILLSBas,0,8/3/2018 16:20,True,1.02542e+18,adaydayji,0,False,,,lagos,en,1
I did a transaction of N online on st August my account was debited and the beneficiary wasn't,0,8/3/2018 16:16,True,1.02542e+18,esanoladimeji,1,False,,,Abuja,en,0
I was debited k at one of your ATMs at your Lokoja branch office It's been over hrs now and the,0,8/3/2018 16:10,True,1.02541e+18,Dan_Assabe,0,False,,,"Lokoja, Nigeria",en,0
As your customer can you explain why you're still deducting despi,0,8/3/2018 15:56,True,1.02541e+18,FAdekoyaSAN,0,False,,,"Lagos, Nigeria",en,1
So it's taking   hrs to resolve my k wen hang for air  Very funny bank wit ancient technology like NTA,0,8/3/2018 15:35,False,1.0254e+18,BankzCollection,0,False,,,Heaven,en,1
Mr Herbert Wigwe,0,8/3/2018 15:32,False,1.0254e+18,yinka212,0,False,,,,en,1
Hebert wigwe,0,8/3/2018 15:30,False,1.0254e+18,ahmed_iceberg,0,False,,,"Lagos, Nigeria",en,1
Herbert Wigwe FCA Access Bank MD,0,8/3/2018 15:22,False,1.0254e+18,ChideraDe,0,False,,,"Lagos, Nigeria",en,0
it's so annoying that  complained about the double deduction that was made on the payda,0,8/3/2018 15:22,True,1.0254e+18,waleakinboro,0,False,,,"Federal Capital Territory, Nig",en,1
it's so annoying that your bank defrauded my colleague  through the payday loan scheme He has,0,8/3/2018 15:15,True,1.0254e+18,waleakinboro,0,False,,,"Federal Capital Territory, Nig",en,0
good day I have did a transfer for over hrs now and I was debited yet the other account hasn't bein,0,8/3/2018 15:10,True,1.0254e+18,IamGodsOwnBaby,0,False,,,lagos,en,0
where is our N,1,8/3/2018 15:09,False,1.0254e+18,samueldanilola,1,False,,,"Lagos, Nigeria",en,0
Is  not suppose to credit me the N they wrongfully debited too  where is my N W,0,8/3/2018 15:03,True,1.0254e+18,OyedepoSamuel,0,False,,,"Lagos, Nigeria",en,0
Jerry Gana,1,8/3/2018 15:00,False,1.0254e+18,KLAZEMATICS,0,False,,,Abuja,en,1
Fast forward to this afternoon Remember i used my  ATM  card to make withdrawal twice yesterday inste,0,8/3/2018 14:51,True,1.02539e+18,OyedepoSamuel,0,False,,,"Lagos, Nigeria",en,0
Herbert Wigwe current MD Access bank,0,8/3/2018 14:44,False,1.02539e+18,gbollivant,0,False,,,,en,0
