text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Yaaaay,0,2018-08-04 05:49:00,False,1025619591274405888,Ayodex2006,0,False,,,Nigeria,en,1
Pay that school fees on ya Phone ecobankmobileapp,0,2018-08-04 00:05:02,False,1025533028347637761,Akinbabson,0,False,,,akure,en,0
pls I need  make use of d mobile appit got blocked and i'm yet to rectify need help online there's no branch close by,0,2018-08-03 23:10:42,False,1025519355717713920,MaryJBabs,0,False,,,Lagos,en,0
Please help me I can't make any withdrawal from my ecobank account  I need urgent help,0,2018-08-03 23:08:59,False,1025518926241955840,AdiariT,0,False,,,"Abuja, Nigeria",en,0
Our great country Nigeria is destined for greatness Unfortunately irresponsible corporate bodies like,3,2018-08-03 20:16:42,True,1025475568278687749,alagbafemi1,2,False,,,"Abuja, nigeria.",en,0
Hello  pls why am I not receiving mails for my transactions,0,2018-08-03 20:10:51,False,1025474095285239808,Saad_Abubakar1,0,False,,,Nigeria,en,1
I visited one of your branches and they helped rectify the situation I'm back online Thanks for your concern,0,2018-08-03 18:24:21,False,1025447294852890625,eclovics,0,False,,,,en,1
With EcoBank You 're finished EcoBank is a disappointed Bank,0,2018-08-03 17:48:09,False,1025438185407635457,SmkOkama,0,False,,,,en,0
No worst subject,0,2018-08-03 17:30:08,False,1025433651184644098,Dmarkino,0,False,,,Nigeria,en,0
GetCashBack XpressAccount,0,2018-08-03 17:13:22,False,1025429432213954563,femioludare,0,False,,,Nigeria,en,1
Africanculture,0,2018-08-03 17:11:33,False,1025428973654892547,femioludare,0,False,,,Nigeria,en,1
I Love this,0,2018-08-03 17:00:12,False,1025426116927021056,Ishiguzochris,0,False,,,"Lekki, Nigeria",en,1
Good to know,0,2018-08-03 16:52:51,False,1025424267180220416,femioludare,0,False,,,Nigeria,en,1
XpressKnowledge from,0,2018-08-03 16:52:32,False,1025424186343387141,femioludare,0,False,,,Nigeria,en,1
further maths,0,2018-08-03 15:17:21,False,1025400233495355392,Akinbabson,0,False,,,akure,en,0
years now and u guys have not refunded ma money backabout k is a big cash,0,2018-08-03 14:55:59,False,1025394856947007488,Iniesman11,0,False,,,,en,0
I have not its  years now u guys have not refund money Ecobank give me ma money back,0,2018-08-03 14:54:55,False,1025394589505675264,Iniesman11,0,False,,,,en,0
safetyrecordng BeSafe,0,2018-08-03 13:45:12,False,1025377045885407232,SafetyRecordNG,0,False,,,Nigeria,en,1
We thank God,0,2018-08-03 12:31:16,False,1025358438107410432,KcKingja,0,False,,,Lagos,en,1
Thanks,0,2018-08-03 12:29:59,False,1025358116362305536,KcKingja,0,False,,,Lagos,en,1
Geography,0,2018-08-03 12:29:35,False,1025358013933268992,KcKingja,0,False,,,Lagos,en,0
Physics,0,2018-08-03 11:44:42,False,1025346719184297986,kabirlyrics,0,False,,,"Kebbi, Nigeria",en,0
you people want to spoil my life abi you don't want me to progress God will not allow you progress,0,2018-08-03 11:04:58,False,1025336721012125696,igiebor_tobi,0,False,,,Nigeria ,en,1
dm pls,0,2018-08-03 11:03:52,False,1025336443567259649,Swansparkle,0,False,,,"Lagos, Nigeria",en,1
you have not fixed my BVN problem ohoo,0,2018-08-03 11:02:16,False,1025336041522257920,igiebor_tobi,0,False,,,Nigeria ,en,0
please help I tried logging into my eco mobile app but couldn't only to be sent,0,2018-08-03 10:33:55,True,1025328904557477888,eclovics,0,False,,,,en,0
Short hand further maths and French,0,2018-08-03 10:16:13,False,1025324451301388288,Valeriankyrian1,0,False,,,EARTH <f0><U+009F><U+008C><U+008D> ,en,0
Even the active points are not working towards FinancialInclusion  financialeducation  is the key,0,2018-08-03 09:32:16,True,1025313389734768647,AromolaranL,0,False,,,"Abuja, Nigeria",en,1
Agent locations are like bank mini branch but agents are not empowered to perform transactions,0,2018-08-03 09:20:30,True,1025310430418362369,AromolaranL,0,False,,,"Abuja, Nigeria",en,1
I think it is time for you people to carry out a necessary audit of how messed up your operations,0,2018-08-03 09:19:50,True,1025310262990184448,AwesomeBhalo,1,False,,,,en,0
Yes Having fire insurance is also important,0,2018-08-03 09:07:30,False,1025307157942689792,MyChiPlc,1,False,,,Abuja. Lagos. PH. Kano. Onisha. Warri. Aba. Calabar. Akure. kaduna. Enugu. Calabar. Ibadan. Owerri.,en,1
good morning Can I get the registrars in charge of former Oceanic Bank so as to update my Mandate,0,2018-08-03 08:07:31,True,1025292064152530944,AKABOGUIKENNAH,0,False,,,"Akure, Nigeria",en,0
OrYa Lets Brag With a Retweet I Love   Rt if you do,0,2018-08-03 07:09:16,False,1025277403659202561,Ishiguzochris,0,False,,,"Lekki, Nigeria",en,1
French,0,2018-08-03 06:47:39,False,1025271964162818048,Kidotwits,0,False,,,Abuja,en,1
Fam look at this guyHe goes by name SUNDAY OJO Uses   He is defrauding people in the name of DA,0,2018-08-03 06:40:35,True,1025270186918719489,olivia_ngene,1,False,,,"Lagos, Nigeria",en,1
I'm an account holder     I want to use  DEX f,0,2018-08-03 06:37:20,True,1025269367796387840,francess88,0,False,,,"Amsterdam, The Netherlands",en,0
And for financial fire safety you make sure you are an Ecobank account holder,0,2018-08-03 06:29:51,False,1025267486449717248,JamesOmeiza,0,False,,,,en,1
account numberphone no,0,2018-08-03 05:53:48,False,1025258411682942976,okechukwuemman8,0,False,,,Kaduna,en,0
That subject in which you have to find X,1,2018-08-03 05:32:18,False,1025253000858816514,VtaminDee,0,False,,,,en,1
Mine was Mathematics Damn,0,2018-08-03 05:04:01,False,1025245884198449153,scezj,2,False,,,,en,0
Access bank still does if you use their card on their machines,0,2018-08-03 02:35:00,False,1025208380967866368,KingDharmieLisa,0,False,,,"Abuja, Nigeria",en,0
Geography where are uI no go die because of copying of notes,0,2018-08-03 02:04:10,False,1025200622809829377,RizamaNathan,0,False,,,"Nigeria, WEST AFRICA",en,0
Mathematics,0,2018-08-03 01:35:10,False,1025193326474133504,otunbatomiwa,0,False,,,Ijebu Ode,en,0
