text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
ant man  hehe,0,2018-08-03 23:49:32,False,1025529127699402752,femishiekz,0,False,,,"lagos, nigeria",en,1
please I need an instant solution to an urgent issue I just misplaced my debit card Kindly help me block it to avoid fraud,0,2018-08-03 19:30:52,False,1025464033988804609,o_johnsyne,1,False,,,"Lagos, Nigeria",en,0
Antman,0,2018-08-03 17:12:37,False,1025429243000496128,SinachOkee,0,False,,,"Abuja, Nigeria",en,1
Spider man,0,2018-08-03 16:37:32,False,1025420412799406080,Emmadrums10,0,False,,,nigeria,en,0
How long will it take my mobile app log in details to be reset I've really endure but no solution from your staffs So Annoying,0,2018-08-03 16:25:20,False,1025417341537058816,triplecrown1905,0,False,,,,en,0
Thank you I've done that,0,2018-08-03 16:06:50,False,1025412689005359106,kampala45,0,False,,,Osun,en,1
BRAND NEW BULLION VANS FOR SALECALL  FOR PRICE AND DETAILS,0,2018-08-03 15:56:06,True,1025409984388063232,tholuinspire,0,False,,,tholuinspire@gmail.com,en,1
BRAND NEW BULLION VANS FOR SALECALL  FOR PRICE AND DETAILS,0,2018-08-03 15:51:53,True,1025408926370676742,tholuinspire,0,False,,,tholuinspire@gmail.com,en,1
Good afternoon WEMA BANK I tried linking my debit master card with my PayPal account but the reply I got was Th,1,2018-08-03 15:47:25,True,1025407799726170113,AiyeetanSunddy,1,False,,,0x166122b5A0b54D0EB738eD851Ce4,en,1
I use my     debit card  ATM igboona  branch Osogbo yesterday at around am yester,0,2018-08-03 13:33:32,True,1025374108161335296,kampala45,0,False,,,Osun,en,0
The th Nigerian Risk Summit is a Premium CSuite Risk Leadership Hub Only available to top  executives in Nige,0,2018-08-03 13:17:56,True,1025370182217289728,riskawards,1,False,,,Lagos Nigeria,en,1
This year the Nigerian Risks Awards  Summit themed Leadership Security and National Development NRASummit re,0,2018-08-03 13:02:25,True,1025366275097288705,riskawards,1,False,,,Lagos Nigeria,en,1
Risk Awards is a platform that honours outstanding risk practice among firms and individuals NRASummit,0,2018-08-03 12:50:44,True,1025363336878272513,riskawards,1,False,,,Lagos Nigeria,en,1
AntMan and the Wasp,0,2018-08-03 12:12:20,False,1025353673969426432,Hisprinceship,0,False,,,23401,en,0
I am still waiting for my dispense error and POS error reversal plz,0,2018-08-03 12:05:06,False,1025351854098661377,Exclusivesammy2,0,False,,,"Lagos, Nigeria",en,0
Antman,0,2018-08-03 11:54:28,False,1025349177117683712,A_dekunbi,0,False,,,"Lagos, Nigeria",en,1
The ant man,1,2018-08-03 11:41:39,False,1025345951983169536,ValentineEmek17,0,False,,,"Lagos, Nigeria",en,0
Antman,0,2018-08-03 11:38:55,False,1025345261969858562,Ola_subomi,0,False,,,,en,1
ant man,0,2018-08-03 11:36:40,False,1025344698251141120,ese_osas,0,False,,,,en,0
Peter Parker spider man,0,2018-08-03 11:32:43,False,1025343704251412481,iAm_eQube,0,False,,, Lagos,en,1
Am sure yall still going to debit us for that hug,0,2018-08-03 11:30:40,False,1025343186057744385,okpoto_jnr1,0,False,,,Nigeria abuja,en,0
How much will u pay us for guessing,0,2018-08-03 11:10:11,False,1025338031845396480,okpoto_jnr1,0,False,,,Nigeria abuja,en,1
Spider man,0,2018-08-03 11:08:30,False,1025337608677797889,CCNelch,0,False,,,"Lagos, Nigeria",en,0
AntMan,0,2018-08-03 10:56:15,False,1025334524350279680,nwike77,0,False,,,Everywhere ,en,1
AntMan,0,2018-08-03 10:47:00,False,1025332197362937856,pillys,0,False,,,,en,1
