text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Hi i tried withdrawing at one of your atm machines  yesterday but got debited without receiving the cash,0,8/4/2018 5:31,True,1.02562e+18,Tha_chooka,0,False,,,The universe ,en,0
can't access your app over hrs now,0,8/4/2018 2:23,False,1.02557e+18,Kezmata1,0,False,,,Dodo ,en,0
Pls I did a transaction I was debited twice but it didn't get delivered I got to know when I did top up,0,8/4/2018 2:09,False,1.02556e+18,Dharmylolar1,0,False,,,"Lagos, Nigeria",en,0
hello you have replied to me yet It's urgent,0,8/4/2018 2:03,False,1.02556e+18,_Ogechii,0,False,,,My mind,en,0
we empathize Hello raised we empathize with you on the issue raised Kindly DM us your account numb,0,8/4/2018 1:44,True,1.02556e+18,FBN_help,0,False,,,Nigeria,en,1
Hello  please follow our help handle  to enable us provide a response via DM in,1,8/4/2018 1:33,True,1.02556e+18,FirstBankngr,0,False,,,"Lagos, Nigeria.",en,1
Dear  for your reply Unfortunately I cant send you a DM if I am not following you Kindly follow so that,0,8/4/2018 0:30,True,1.02554e+18,akachukwu,1,False,,,London | Global Citizen,en,1
Contact call fbn support,0,8/3/2018 21:32,False,1.02549e+18,iamotunbaolu,0,False,,,"Lagos, Nigeria.",en,1
I carried out a transaction my money was deducted twice but it didn't go through  Shokoya Adedunjoye,0,8/3/2018 21:11,False,1.02549e+18,Dharmylolar1,0,False,,,"Lagos, Nigeria",en,0
I made a transaction to a Zenith bank account since  days now I have been debited but the recipient has,0,8/3/2018 20:51,True,1.02548e+18,dipowo,0,False,,,"Abuja, Nigeria",en,0
is a fraud How can I tabled complaints for three months now and nothing has been done Recharging an,0,8/3/2018 20:32,True,1.02548e+18,ArogbodoVincent,0,False,,,"Ido-Ekiti, Nigeria",en,1
pls I cant transfer money or withdraw money from my account o,0,8/3/2018 20:28,False,1.02548e+18,izikprinx,0,False,,,Breezing through tho..,en,0
Hello I have been unable to do any transaction since morning pls help ASAP am at the ATM right now and it's my only option,0,8/3/2018 20:21,False,1.02548e+18,ojdeniz,0,False,,,"Lagos, Nigeria",en,0
pls i bought airtime  times today I got debited no airtime to show for it Pls i need it reversed pls and pls,0,8/3/2018 20:08,False,1.02547e+18,tehmi_,0,False,,,,en,1
kindly follow back for a dm,0,8/3/2018 19:46,False,1.02547e+18,esther_ibeneme,0,False,,,,en,1
kindly assist with this I sent money to another bank account yesterday but the beneficiary is yet to rec,0,8/3/2018 19:23,True,1.02546e+18,Themithurpe,0,False,,,lagos,en,1
Please someone transfer money to me around pm th August am yet to receive an alert I have been to the ATM seve,0,8/3/2018 19:19,True,1.02546e+18,IkennaAniche,0,False,,,Portharcourt ,en,0
i opened a first bank account during the program 'ENTREPRENEURIAL MINDSET' i want to know when i will receive my ATM CARD,0,8/3/2018 19:07,False,1.02546e+18,Aladekehindepe1,0,False,,,,en,0
Kindly reply your dm,0,8/3/2018 19:04,False,1.02546e+18,Folabii_,0,False,,,,en,1
omolaiye kehinde paulAugust   naira,0,8/3/2018 18:59,False,1.02546e+18,omolaiye_paul,0,False,,,,en,1
Why aren't you replying,0,8/3/2018 18:57,False,1.02546e+18,AromanticOldMan,0,False,,,,en,0
kindly follow back pls,0,8/3/2018 18:51,False,1.02545e+18,esther_ibeneme,0,False,,,,en,1
hello good evening my name is ALADE KEHINDE PETER  A student of unilag i attended d prog,0,8/3/2018 18:46,True,1.02545e+18,Aladekehindepe1,0,False,,,,en,1
pls how do one join the FBN WhatsApp,0,8/3/2018 18:43,False,1.02545e+18,NobleKris5,0,False,,,"Lagos, Nigeria",en,1
kindly follow back please,0,8/3/2018 18:42,False,1.02545e+18,esther_ibeneme,0,False,,,,en,1
I transferred  money to someone and this was the text i got but the person is yet to be credited Your Ac,0,8/3/2018 18:36,True,1.02545e+18,activemmy,0,False,,,Abuja,en,0
is it safe to drop my account details herewanted to send a dm,0,8/3/2018 18:36,False,1.02545e+18,esther_ibeneme,0,False,,,,en,1
good evening someone send money to my account from europe and am yet to recieve it since yesterdayhere,0,8/3/2018 18:33,True,1.02545e+18,HalimatSarumi,0,False,,,Lagos nig,en,1
Your DM is not open How can I DM you,0,8/3/2018 17:51,False,1.02544e+18,Irianalucky,0,False,,,Nigeria,en,1
Okay thanksHow does the WhatsApp banking work,0,8/3/2018 17:47,False,1.02544e+18,Mightypluzz,0,False,,,Nigeria <f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC><f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC><f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,1
all of una na thunder go fire una and una yeye App fools That's why sterling bank was,0,8/3/2018 17:46,True,1.02544e+18,Shilorine,0,False,,,,en,1
and that is how firstmobile has been down for more than two hours now,0,8/3/2018 17:42,False,1.02544e+18,kenkaz_pro,0,False,,,Nigeria,en,0
I used the POS at the shoprite with your atm sometimes around May My money was deducted w,0,8/3/2018 17:28,True,1.02543e+18,ceeroma007,0,False,,,"Ibadan, Nigeria",en,0
Thanks so much for finding solution You just made my weekend,0,8/3/2018 17:22,False,1.02543e+18,Child_of_sense,0,False,,,"Lagos, Nigeria",en,1
Please here's my challenge How do I fix it,0,8/3/2018 17:20,False,1.02543e+18,f_nathan24,0,False,,,Nigeria,en,1
Greetings,0,8/3/2018 17:19,False,1.02543e+18,f_nathan24,0,False,,,Nigeria,en,1
Resolving customer issues promptly since  youfirst Bankinggetscloser JointheTrain,0,8/3/2018 16:55,False,1.02542e+18,MrWaleAhmed,0,False,,,GIDI!,en,1
But Im not in the country  I really need to reactivate IF its dormant,0,8/3/2018 16:46,False,1.02542e+18,REALJIZZA,0,False,,,,en,1
kindly help me i recharged my mobile line  with  using  the money was deducted but,0,8/3/2018 16:41,True,1.02542e+18,i_am_Deeman,0,False,,,,en,1
Please what kind of nonsense stunt are you guys pulling  I cant access my account or anything,0,8/3/2018 16:38,True,1.02542e+18,OgShallz,0,False,,,"Lagos, Nigeria",en,0
Good eveningam unable to make transaction on my account through your ATMUSSD codeand App,0,8/3/2018 16:27,True,1.02542e+18,gordonjean,0,False,,,"lagos,nigeria.",en,0
I tried recharging my MTN line via your short code  I was debited  but my never got the recharge on my phone,0,8/3/2018 16:23,False,1.02542e+18,barr_vivy,0,False,,,Lasgidi,en,0
Staff at First Bank Diaspora Banking Unit dropping the phone on,0,8/3/2018 16:20,True,1.02542e+18,ClaraRufai,0,False,,,"London, England",en,0
Hello can you please kindly open the DM option for me so that I can be able to send you those information,0,8/3/2018 16:19,False,1.02542e+18,AdedamolaUsman,0,False,,,"Fct, Abuja. ",en,1
Always,0,8/3/2018 16:11,False,1.02541e+18,aku_adimac,0,False,,,Nigeria,en,1
Successful winners have been paidi only participated in the Nigeria Argentina predictionsso no,0,8/3/2018 16:10,True,1.02541e+18,EminenceTca,0,False,,,Lagos|Abuja|kano|Uk,en,1
Account number Account name  Yusuf Uthman I used  initially  I want to change it to,0,8/3/2018 16:09,False,1.02541e+18,Deeberh,0,False,,,Ibadan,en,1
Good afternoon It's over  working hours now  it has not been reversed,0,8/3/2018 16:04,False,1.02541e+18,Derebucci,0,False,,,Ibadan,en,1
Hi first bank I've been waiting to receive my debit card with no response from you people yet I applied,0,8/3/2018 15:56,True,1.02541e+18,Yaraduagroup,0,False,,, 9ja,en,1
you guys need   to do meeting and condition and  find out where my money dey,0,8/3/2018 15:54,False,1.02541e+18,Earth_Net,0,False,,,Bradford,en,0
