text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
I need a good work for my younger brother sir can you help me fix him in a better post,0,8/4/2018 5:41,False,1.02562e+18,TaiwoAyinla2,0,False,,,,en,1
Kindly provide your number for assistance DA,0,8/4/2018 5:27,False,1.02561e+18,GloCare,0,False,,,,en,1
I am not sure the card dispense error form on gtbank app is functioning i lodged a complaint twice but i can't get,0,8/4/2018 4:59,True,1.02561e+18,abiodun_awesome,0,False,,,"ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂT: 6.59268,3.51699",en,0
If by this time I'm unable to use your atm  at PWD IKEJAin a case of emergency then u have failed to live,0,8/4/2018 4:41,True,1.0256e+18,charlee_sway,0,False,,,"Lagos, Nigeria",en,0
This is happening to millions of Nigerians but so many barely notices  should be investigated,0,8/4/2018 4:25,True,1.0256e+18,ifeanyi_nwadike,0,False,,,Portharcourt,en,0
This is just one of numerous experiences I av had,0,8/4/2018 4:15,False,1.0256e+18,ifeanyi_nwadike,0,False,,,Portharcourt,en,0
Eg I stopped paying money there and withdrew all I had there because of the frequent h,0,8/4/2018 4:14,True,1.0256e+18,ifeanyi_nwadike,0,False,,,Portharcourt,en,0
Hello boss is it about   Those guys have finished me with hidden charges count,0,8/4/2018 4:10,True,1.02559e+18,ifeanyi_nwadike,0,False,,,Portharcourt,en,1
All the stress I just went through to pay for something online just solidifies the fact that  is a better bank than,0,8/4/2018 2:00,False,1.02556e+18,BeingNeks,0,False,,,"Toronto, Ontario",en,0
Stay indoor and read,0,8/4/2018 1:08,False,1.02555e+18,iamdelight_,0,False,,,"Lagos, Nigeria",en,0
How can I start transferring money from my phone without going to bank,0,8/4/2018 0:43,False,1.02554e+18,jeffoskie,0,False,,,"Minna, Nigeria",en,0
As a customer of GTBi cannot use  because I registered my Glo line Shame on both Glo and,0,8/3/2018 23:50,False,1.02553e+18,samorio007,0,False,,,,en,0
Trying to use quick teller but your network keep fumble GTB and Globacom are the worst organizations in Ni,0,8/3/2018 23:44,True,1.02553e+18,samorio007,0,False,,,,en,0
I was just told by a friend that globacom user who registered their line with Gtb cannot use  service,0,8/3/2018 23:14,True,1.02552e+18,samorio007,0,False,,,,en,1
Forget that thing She can't move a pin,0,8/3/2018 23:10,False,1.02552e+18,TammyDisu,0,False,,,Earth and the seven  Heavens.,en,1
You don't want to see her in action Trust me,0,8/3/2018 23:09,False,1.02552e+18,diminki,0,False,,,Unknown ,en,1
why do you people always frustrate your customers transactions Why is my acct restricted all of a sudden,0,8/3/2018 23:03,True,1.02552e+18,ImAsherStorm,0,False,,,Stormerz Studios,en,0
Y'all should help me  keeps rejecting my  card,0,8/3/2018 22:41,False,1.02551e+18,vincentdesmond_,0,False,,,,en,0
Good,0,8/3/2018 22:34,False,1.02551e+18,Utchgirl5,0,False,,,,en,1
Please when next should we expect something light for weekend Every week isn't bad,0,8/3/2018 22:34,False,1.02551e+18,_phato,0,False,,,"Ado, Nigeria",en,0
lol how market,0,8/3/2018 22:32,False,1.02551e+18,_phato,0,False,,,"Ado, Nigeria",en,1
equals  I guess lol,0,8/3/2018 22:31,False,1.02551e+18,_phato,0,False,,,"Ado, Nigeria",en,1
seriously  How much,0,8/3/2018 22:29,False,1.02551e+18,_phato,0,False,,,"Ado, Nigeria",en,1
I wish for GTBank revival in Ekiti State ooo,0,8/3/2018 22:27,False,1.02551e+18,_phato,0,False,,,"Ado, Nigeria",en,1
please I lost hold of my account details it's a new account I just opened haven't funded it yet can,0,8/3/2018 22:07,True,1.0255e+18,lastbreed_xtrap,0,False,,,lagos nigeria,en,0
GTB seems to be a very slow bank  Once youre references are not from  it can take  months to get your acc,0,8/3/2018 22:00,True,1.0255e+18,sirikechi,1,False,,,,en,1
Follow back you two,0,8/3/2018 21:56,False,1.0255e+18,_Faye___,0,False,,,"Lagos, Nigeria",en,1
I thought I was alone in this,0,8/3/2018 21:53,False,1.0255e+18,i_dollie_D,0,False,,,"#lagos, Nigeria",en,0
According to our records you do not bank with us,0,8/3/2018 21:51,False,1.0255e+18,ihuoma_ezee,0,False,,,nigeria,en,0
Please like to vote for  in the  simplechangebigimpact Challenge God bless,0,8/3/2018 21:38,False,1.0255e+18,AdegbeO,0,False,,,Nigeria,en,1
Sire am sorry for your misfortune but just to clear my conscience have you contacted the institution,0,8/3/2018 21:31,True,1.02549e+18,azumara_victor,0,False,,,,en,0
Help us win simplechangebigimpact  Follow  on Instagram  Like the post  by  Tag,16,8/3/2018 21:29,True,1.02549e+18,DeboOdulana,29,False,,,"Lagos, Nigeria",en,1
Wake upeatgo to work sleepsleep and more sleep And since wen did  start deductin,0,8/3/2018 21:05,True,1.02549e+18,UmarUmmulkhayr,0,False,,,Nigeria,en,0
pls a transaction was made to my account since morning and have not gotten the alert kindly assist,0,8/3/2018 20:57,False,1.02549e+18,snynlsidowu,0,False,,,Abuja,en,1
I cant remember when last my  bookcurrent balance and account balance were the same Sigh,1,8/3/2018 20:53,False,1.02548e+18,NateKorl,0,False,,,"Lagos, Nigeria",en,0
Most times I get debited for double the amount of money for airtime originally requested This has happened so,1,8/3/2018 20:52,True,1.02548e+18,samywejinya,0,False,,,,en,0
Enough is enough I've noticed on so many occasions that each time I recharge my phone airtime via 's,3,8/3/2018 20:49,True,1.02548e+18,samywejinya,2,False,,,,en,1
What is the problem between your bank and my globacom number I want to transfer to another person using an,0,8/3/2018 20:19,True,1.02548e+18,samorio007,0,False,,,,en,0
Dear I've been banking with you for years nowI managed a successful hitch free loan repayment last year,0,8/3/2018 20:15,True,1.02548e+18,Agbarah1,0,False,,,Nigeria,en,1
First I didn't request for a new ATM even if you would renew it and still deduct d cost wi,0,8/3/2018 19:58,True,1.02547e+18,otunba272,0,False,,,23401 Lasgidi,en,0
Kindly enlighten me on how to transfer my New ATM to ur AbuleTailor branch AHMADIYA Lagos wh,0,8/3/2018 19:57,True,1.02547e+18,otunba272,0,False,,,23401 Lasgidi,en,1
Hoping  to instigate  another bankwar No dey  form  champion,1,8/3/2018 19:55,False,1.02547e+18,Horwhazs,0,False,,,,en,1
This is me I havent used my Nigeria debit cards in years but I keep paying for main,1,8/3/2018 19:32,True,1.02546e+18,Tutu_geh,0,False,,,"Oklahoma City, OK",en,0
Pls how do I get a pos,0,8/3/2018 19:06,False,1.02546e+18,juniorJesus1123,0,False,,,lagos,en,1
Dear Twitter family with you we know we can Please vote  by  liking this video on Instagram,1,8/3/2018 19:01,True,1.02546e+18,DoctooraHealth,3,False,,,"Lagos, Nigeria",en,1
SimpleChangeBigImpact StayWokeNigeria  Asaba  Lagos_By_Yommy  MTNYelloTopTen  FadesandBangs FaajiFriday,0,8/3/2018 18:49,True,1.02545e+18,MrBakareDare,0,False,,,"Lagos, Nigeria",en,1
Morning I did a top up from my account this morning  to my reg mtn line  There was no cred,0,8/3/2018 18:42,True,1.02545e+18,drboboski,0,False,,,canada,en,1
thank you so much My dispense error has been reversedCheers,0,8/3/2018 18:37,False,1.02545e+18,brightbeee,0,False,,,"Lagos, Nigeria",en,0
all banks in nigeria are the biggest criminal ever      al,0,8/3/2018 18:22,True,1.02545e+18,ellianasmith007,0,False,,,"Atlanta, GA",en,0
All these guys are a bunch of scam Pelejust migrate from the bullshit and fraudulent bank,0,8/3/2018 18:04,False,1.02544e+18,chrisolalere,0,False,,,,en,0
If your Father is a Lion don't behave like a goat Pinch your tent with successful people its just a matter of t,1,8/3/2018 18:01,True,1.02544e+18,Silec_Concept,0,False,,,Lagos Nigeria,en,1
Even Zenith Bank They've drained the account now but they just,0,8/3/2018 17:54,True,1.02544e+18,DammySEO,0,False,,,Canis Major ,en,0
Na mouth you get,0,8/3/2018 17:34,False,1.02543e+18,TammyDisu,0,False,,,Earth and the seven  Heavens.,en,0
ago still no refund no rice I will make This is very unfair Pls refund me and let me use my money for some,0,8/3/2018 17:30,True,1.02543e+18,smadeniyi,0,False,,,Worldwide,en,0
Ahhhh tamuno with my suing skills Lemme hanging eet dia,0,8/3/2018 17:19,False,1.02543e+18,quinnpee,0,False,,,"Denver, CO",en,1
My plans are to continuously pray to God to heal me completely while I keep writing for myself what it feels like I LOVE GTB,1,8/3/2018 17:13,False,1.02543e+18,Dina88426111,0,False,,,,en,0
Wetin you fit do,0,8/3/2018 17:08,False,1.02543e+18,TammyDisu,0,False,,,Earth and the seven  Heavens.,en,1
Pls can I change my phone number via internet banking WITHOUT the token I just reactivated m,0,8/3/2018 17:05,True,1.02543e+18,iamOvox,0,False,,,Somewhere on planet earth,en,0
i was debited without giving what i was debited for,0,8/3/2018 17:05,False,1.02543e+18,nyahclement,0,False,,,PLANET EARTH,en,0
Go swimming with some friends and withdraw all my money so you won't charge me unnecessary naira for unexplainable bank charges,1,8/3/2018 17:05,False,1.02543e+18,BestOjike,0,False,,,Oslo Norway ,en,0
yea i know i dey whine them ni i just dont know why am addicted to GTBank i like their service,1,8/3/2018 17:00,False,1.02543e+18,otus4me,0,False,,,"Lagos, Nigeria",en,0
after the th transaction on another banks atm Nah yall charge each withdrawal not made on your atm,0,8/3/2018 16:44,False,1.02542e+18,hacemayne,0,False,,,Lagos,en,0
Hm,0,8/3/2018 16:37,True,1.02542e+18,nubianhottie,0,False,,,,en,1
Wise up Not even  persons has come out and said they got N each,0,8/3/2018 16:34,False,1.02542e+18,alpaci30,0,False,,,"Budapest, Hungary",en,1
I was charged  naira for maintenance card when I have not even collected the card for a year now and am,0,8/3/2018 16:31,True,1.02542e+18,Mihz_Stacy,0,False,,,"Glasgow, Scotland",en,0
theCliqueAfrica catchup from     TGIF LevelUpWith our collaborative open spaces this is how we lev,0,8/3/2018 16:31,True,1.02542e+18,thecliqueafrica,0,False,,,Nigeria,en,1
when are you doing this again,0,8/3/2018 16:29,False,1.02542e+18,phefolee,0,False,,,lagos,en,1
Wa,0,8/3/2018 16:28,True,1.02542e+18,nubianhottie,0,False,,,,en,0
Abel make start to dey stroll hr never do for d strolling,0,8/3/2018 16:26,False,1.02542e+18,quinnpee,0,False,,,"Denver, CO",en,1
i was lucky,1,8/3/2018 16:25,False,1.02542e+18,Ayofemi_65317,0,False,,,,en,0
The codes has been used Wisen up pple And wait for the next set of codes,0,8/3/2018 16:23,False,1.02542e+18,manlikesaad,0,False,,,,en,1
I need that k as consolation for all the unnecessary and unaccounted debit by GTB from my account,1,8/3/2018 16:21,False,1.02542e+18,iamxtar,0,False,,,"Ibadan, Nigeria",en,0
Fraud,1,8/3/2018 16:20,False,1.02542e+18,Uyi28official,0,False,,,"Federal Capital Territory, Nig",en,0
Nope you don't need to it's GTRescue Debit card ain't needed,1,8/3/2018 16:18,False,1.02542e+18,youngmajor19,0,False,,,"Lagos, Nigeria",en,0
Maybe u didn't use the code early enough,0,8/3/2018 16:17,False,1.02542e+18,youngmajor19,0,False,,,"Lagos, Nigeria",en,0
it's Friday broa relaxed day,0,8/3/2018 16:17,False,1.02542e+18,jbravo006,0,False,,,Lagos,en,1
Transaction failed,0,8/3/2018 16:16,False,1.02542e+18,yormeee,0,False,,,Worldwide!,en,0
lol,0,8/3/2018 16:16,False,1.02542e+18,jbravo006,0,False,,,Lagos,en,1
Transaction fail,0,8/3/2018 16:15,False,1.02541e+18,Sourcetwentytwo,0,False,,,,en,0
Sohow many of you got 's CashOut k Please let's know youCashOut,0,8/3/2018 16:15,False,1.02541e+18,PassengerPerez,0,False,,,"Ogudu, Lagos, Nigeria.",en,1
I tied this in my gtb branch where i work right nowAnd I've been summoned for a QueryNever,2,8/3/2018 16:14,True,1.02541e+18,AjaniBay,1,False,,,lagos state,en,0
I'm unable to open an account online It says there is an account with the provided details I r,0,8/3/2018 16:13,True,1.02541e+18,gabrielSofmercy,0,False,,,"Lagos, Nigeria",en,0
Scam pool I tried  codes all failed,0,8/3/2018 16:12,False,1.02541e+18,henrymalachy,0,False,,,Nigeria,en,0
It can't be scam it's their official account,0,8/3/2018 16:11,False,1.02541e+18,youngmajor19,0,False,,,"Lagos, Nigeria",en,0
I can't b calm oh dis  fit reach to tear shirt oh,0,8/3/2018 16:10,False,1.02541e+18,quinnpee,0,False,,,"Denver, CO",en,0
I was thinking I will post a pic of me holding atleast k and thanking GTB,0,8/3/2018 16:10,False,1.02541e+18,AjaniBay,0,False,,,lagos state,en,1
Is this gonna be last or there's another cus I'm about about to go wait in front an ATM rn,0,8/3/2018 16:10,False,1.02541e+18,youngmajor19,0,False,,,"Lagos, Nigeria",en,0
Boss I think I'll agree with u on dat sobs,0,8/3/2018 16:09,False,1.02541e+18,AjaniBay,0,False,,,lagos state,en,0
Transaction failed was the response I got,0,8/3/2018 16:08,False,1.02541e+18,Ovoteejay,0,False,,,,en,0
TRANSCATION FAILED WHY,0,8/3/2018 16:08,False,1.02541e+18,AjaniBay,0,False,,,lagos state,en,0
Tried everything,0,8/3/2018 16:07,False,1.02541e+18,PassengerPerez,0,False,,,"Ogudu, Lagos, Nigeria.",en,1
Thank you I've done that,0,8/3/2018 16:06,False,1.02541e+18,kampala45,0,False,,,Osun,en,1
Scam,0,8/3/2018 16:06,False,1.02541e+18,LaminaTaiwo1,0,False,,,"Akure, Nigeria",en,0
Transaction failed,0,8/3/2018 16:06,False,1.02541e+18,nne_nnah,0,False,,,somewhere only we know,en,0
Hanty you're shouting Na Calm down fess,0,8/3/2018 16:06,False,1.02541e+18,phweshious,0,False,,,"Federal Capital Territory, Nig",en,1
We regret any stress that you have had to endure Kindly contact the card issuing b,1,8/3/2018 16:05,True,1.02541e+18,wemabank,0,False,,,Nigeria ,en,1
Did u try all d code,0,8/3/2018 16:04,False,1.02541e+18,gabrielSofmercy,0,False,,,"Lagos, Nigeria",en,1
Not working,0,8/3/2018 16:04,False,1.02541e+18,BlackLikeDami,0,False,,,"Lagos, Nigeria",en,0
Is  celebrating defections,1,8/3/2018 16:04,False,1.02541e+18,NASS_NG,0,False,,,"Abuja, Nigeria.",en,1
Transaction Failed Hian,0,8/3/2018 16:03,False,1.02541e+18,PassengerPerez,0,False,,,"Ogudu, Lagos, Nigeria.",en,0
I tried  codes on two ATMS Akin Adesola and the result was Transaction failed if we don't get real w,2,8/3/2018 16:02,True,1.02541e+18,senijebs,0,False,,,"Lagos, Nigeria",en,0
How many times can the ref code be used,0,8/3/2018 16:01,False,1.02541e+18,gabrielSofmercy,0,False,,,"Lagos, Nigeria",en,1
Could not find  cash out on the list of options,0,8/3/2018 16:01,False,1.02541e+18,abdulmalikoyet1,0,False,,,Lagos ,en,0
Chai See plenty people for GT ATM here at Catholic mission branch in island Lagos,0,8/3/2018 15:56,False,1.02541e+18,BNkenny,0,False,,,,en,1
I hv no plans because no money,0,8/3/2018 15:56,False,1.02541e+18,saratu_ibrahim,0,False,,,Abuja. Nigeria,en,0
