text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
customer,0,2018-09-11 22:56:15,False,1039648845251194881,AyekoJohn,0,False,,,"Rivers, Nigeria",en,1
Road MAP,0,2018-09-11 20:53:08,False,1039617862640517120,hannah_dol,0,False,,,,en,1
Govt,0,2018-09-11 19:11:43,False,1039592340346859520,MOHAMMEDBUHARII,0,False,,,"Yola, Nigeria",en,0
I think youre a map,0,2018-09-11 19:01:58,False,1039589888096698369,ayoajibode_,0,False,,,"Lagos, Nigeria.",en,1
Tell Us more,0,2018-09-11 17:43:20,False,1039570096862179328,sagiyr,0,False,,,,en,1
Some people don't know the answer but copy copy will kill them last last,1,2018-09-11 17:41:24,False,1039569613774839813,yb_ibraheem,0,False,,,,en,0
MapTuesdayTriviaUnionBankYourSimplerSmarterBankFastestFinger,0,2018-09-11 17:04:37,False,1039560355926757377,PokerHenny,0,False,,,"Lagos, Nigeria",en,1
that your advert that says something about not trusting mechanics is really quite sad disrespectful,0,2018-09-11 16:29:46,True,1039551584567476225,mokrie,0,False,,,,en,0
Map FatestFinger  TuesdayTrivia,0,2018-09-11 16:20:49,False,1039549334692483072,mobolajioladepo,0,False,,,Lagos ,en,1
El Rufai haaaa,0,2018-09-11 16:13:56,False,1039547599483817984,Altruist_theist,0,False,,,"Abuja, Nigeria",en,1
Map TuesdayTrivia,0,2018-09-11 16:11:24,False,1039546962054459393,iAmPhyton,0,False,,,"Nsukka, Nigeria",en,1
Map TuesdayTrivia UnionBank,0,2018-09-11 16:06:46,False,1039545797589786625,wandecoally,0,False,,,"IBADAN, OYO STATE",en,1
and  be emailing me that I stand a chance to win Why don't you just  give me a win on,0,2018-09-11 16:03:49,True,1039545053990019072,Aniedi_Benard,0,False,,,Uyo,en,0
Map,0,2018-09-11 16:00:03,False,1039544105473388549,akoboga,0,False,,,Port Harcourt,en,1
MapTuesdayTriviaUnionBankYourSimplerSmarterBankFastestFingers,0,2018-09-11 15:59:06,False,1039543865575911425,Towobo06778396,0,False,,,Sokoto Nigeria,en,1
MapTuesdayTriviaUnionBankYourSimplerSmarterBankFastestFingers,0,2018-09-11 15:55:40,False,1039543002878943233,MayowaYellow,0,False,,,"Ibadan, Nigeria",en,1
Map TuesdayTrivia,0,2018-09-11 15:53:41,False,1039542504771735552,GiftNwanosike,0,False,,,"Abia, Nigeria",en,1
map,0,2018-09-11 15:53:01,False,1039542338111123456,Intermarc_NG,0,False,,,"Lekki, Nigeria",en,1
Map,0,2018-09-11 15:52:38,False,1039542238366326784,karenthethird,0,False,,,,en,1
map TuesdayTriviaUnionBankYourSimplerSmarterBankFastestFingers,0,2018-09-11 15:51:09,False,1039541867430506497,Ismaila_Okoedo,0,False,,,"Benin City, Edo State, Nigeria",en,1
Map,1,2018-09-11 15:49:46,False,1039541520557334528,dalhamuhammed92,0,False,,,"Lagos, Nigeria",en,1
Map,0,2018-09-11 15:48:55,False,1039541303711866881,Superior_433,0,False,,,,en,1
pls requirements for opening a dom account,0,2018-09-11 15:30:04,False,1039536562701312000,Odusjodi,0,False,,,,en,1
So bad  didn't wish me on my birthday even  and  that i have just a thousand naira in their acct did BAD,0,2018-09-11 15:16:43,False,1039533202573062144,OkingsOlas,0,False,,,"Lagos, Nigeria",en,0
Pls requirements for openings a dom account,0,2018-09-11 15:15:55,False,1039533001305190400,Odusjodi,0,False,,,,en,1
Very Disappointed with ATM services and It fills with Garbage and dirty smells,1,2018-09-11 13:49:35,True,1039511275762372608,AnalyzerSumit,0,False,,,"Mumbai, India",en,0
My guy calm down ah  Aftarall UNI are both the starting alfabets of your names  Lol,0,2018-09-11 12:07:57,False,1039485696539545600,iammrelvis,0,False,,,lagos,en,1
Dear  pls how long does it take to open a Savings Account with you guys,0,2018-09-11 12:04:29,False,1039484825302908928,timkonyehi,0,False,,,"Lagos, Nigeria",en,1
gurantees your money with  Rusoko and  delivers at your door step,0,2018-09-11 11:31:31,False,1039476528894148608,Oneboykb,0,False,,,"Lagos, Nigeria",en,0
are so happy to bring to you Rusoko This brand is for all across the world Just log on to,1,2018-09-11 11:25:40,True,1039475054210437120,Oneboykb,0,False,,,"Lagos, Nigeria",en,1
Have you seen the latest African wears from Rusoko Then you need to check them out  We make free delivery  to,0,2018-09-11 11:24:55,True,1039474865491898368,Oneboykb,0,False,,,"Lagos, Nigeria",en,1
You will never ever regret with,2,2018-09-11 10:34:08,False,1039462088865980420,Falilatt_,0,False,,,"Lagos, Nigeria",en,1
is the worst  bank I've banked withthank you for wasting my time and money  in your bank,0,2018-09-11 10:28:58,False,1039460788510048256,CindiaPez,0,False,,,"  Benin,Edo state",en,0
