text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Writer,0,2018-08-04 05:48:25,False,1025619446608678918,Ayodex2006,0,False,,,Nigeria,en,1
POLITICIAN Politician are the same no one is better than othergood morning,0,2018-08-04 05:26:59,False,1025614049915088896,9Remmy4real,0,False,,,Nigeria ,en,1
Please change the atm in my school Landmark university,0,2018-08-04 05:22:30,False,1025612921819353088,Davidokoroma,0,False,,,Abuja,en,0
Pilot,0,2018-08-04 03:28:44,False,1025584292070604801,ugonwachigbo1,0,False,,,Nigeria,en,0
Psychologist,0,2018-08-04 03:19:59,False,1025582089385721856,babbysyl,0,False,,,,en,1
Psychologist lol,0,2018-08-04 03:13:56,False,1025580566702432256,nims_k,0,False,,, Nigeria,en,1
Rep,0,2018-08-04 02:09:57,False,1025564464576389122,anni3luv01,0,False,,,Abuja - Nigeria,en,1
Nice,0,2018-08-04 01:35:54,False,1025555898473881600,ChuksChukwunalu,0,False,,,"Lagos, Nigeria",en,1
LAWYER,0,2018-08-04 00:02:10,False,1025532309615898624,SugarEric1,0,False,,,Ghana,en,1
I hope  w,0,2018-08-03 23:41:51,True,1025527195186421761,OdelekeSA,0,False,,,,en,1
thank u,0,2018-08-03 23:35:45,False,1025525660335390720,OlubunmiAdenodi,0,False,,,,en,1
Over  months now I will stop banking with u guys including my kids and family members because am scared,0,2018-08-03 22:28:45,False,1025508800332222464,SimiSucre,0,False,,,abuja nigeria,en,0
Why will u ask me to comfort a Costomer to get my money when pos says declined and was debated I though,0,2018-08-03 22:26:58,True,1025508350602211328,SimiSucre,0,False,,,abuja nigeria,en,0
wooow really enjoyed,0,2018-08-03 22:19:11,False,1025506390209642512,ObengGyanSamue1,0,False,,,"Accra, Ghana",en,1
PILOT,0,2018-08-03 22:15:40,False,1025505508290121728,Djfreemo1,0,False,,,"Lagos, Nigeria",en,0
Politician,0,2018-08-03 22:12:05,False,1025504604769996801,julieta22046455,0,False,,,,en,1
pilot,1,2018-08-03 21:39:06,False,1025496303642587137,david_uju,0,False,,,,en,0
baba na money I dey find Epp pls,0,2018-08-03 21:38:07,False,1025496056681979906,dapizl,0,False,,,Melwood,en,0
Designer,0,2018-08-03 21:35:57,False,1025495509904052224,HaidarItz,0,False,,,Benin,en,1
Pilot,0,2018-08-03 21:17:35,False,1025490890373165056,Sammyville2,0,False,,,,en,0
Pilot,0,2018-08-03 21:08:20,False,1025488560764473344,BisiSimeon,0,False,,,,en,0
Can you give us loans to start a business,0,2018-08-03 21:00:56,False,1025486697704906755,NanaAsabere09,0,False,,,Ghana,en,0
Eskis sir  why are you sending Dm go banks upandan Send Dm to me please Elp your Boi oh,0,2018-08-03 21:00:15,False,1025486529626628096,babalolareal,0,False,,,"Ibadan, Nigeria",en,1
Psychologist,0,2018-08-03 20:56:10,False,1025485498628943872,OdiraOkekefcb10,0,False,,,,en,1
Pilot,0,2018-08-03 20:53:42,False,1025484881151909888,offorkansifabia,0,False,,,"Lagos, Nigeria",en,0
Perhaps i should remind you  offers k as limits for the same online transactions an,1,2018-08-03 20:49:09,True,1025483734513053696,jerryfrankson,1,False,,,WORLDWIDE,en,1
