word,frequency
Something,2
similar,3
happened,63
to,3758
me,973
since,390
June,17
and,2131
up,211
till,130
now,487
my,3496
money,974
hasn,2
Hi,44
,4891
I,5709
validated,1
migrated,2
AC,5
from,778
tier,1
premier,1
saving,14
yesterday,264
at,418
IbadanI,1
received,87
the,3110
mes,3
Unable,3
access,154
mobile,471
app,588
need,401
help,243
please,563
o,111
I'm,252
stranded,16
this,774
weekend,13
don't,410
have,1061
an,516
atm,128
trying,138
get,518
into,157
account,1685
but,870
it's,165
not,875
working,135
Please,401
explain,22
what's,78
happening,77
here,93
ooooooooo,1
Dont,10
let,34
us,95
be,492
unfortunate,23
refund,170
you,1489
will,430
credit,148
with,1011
airtime,282
as,240
requested,36
on,1097
know,248
why,286
card,656
keeps,31
telling,36
wanted,35
deposit,49
online,170
cant,67
th,163
of,1344
July,54
My,234
acct,119
no,409
The,192
last,194
lady,4
that,799
picked,8
chineye,1
ignored,5
was,1298
angry,8
she,41
just,421
left,48
line,118
they,370
dont,98
pick,16
call,63
called,57
customer,177
care,55
refuse,15
am,425
urgently,21
same,126
want,276
ask,38
if,201
its,159
a,2160
crime,7
use,285
pos,24
decline,8
debited,843
Herbert,6
Wigwe,6
MD,6
Access,92
Bank,169
PLC,2
your,900
internet,76
banking,243
is,1807
so,259
frustrating,28
went,72
for,1695
password,39
reset,20
staffs,8
are,559
being,91
unfair,12
can,458
u,294
block,35
has,415
been,761
stolen,16
did,232
transaction,539
N,247
st,47
August,44
beneficiary,31
wasn't,86
k,253
one,280
ATMs,28
Lokoja,1
branch,225
office,23
It's,132
over,189
hrs,96
FCA,2
annoying,47
bank,1114
defrauded,6
colleague,1
through,158
payday,11
loan,44
scheme,2
He,7
good,80
day,139
transfer,483
yet,324
other,129
hasn't,65
bein,2
where,64
our,67
Is,107
suppose,6
wrongfully,5
too,121
W,5
Fast,2
forward,13
afternoon,26
Remember,3
i,698
used,171
ATM,472
make,206
withdrawal,88
twice,177
inste,2
current,18
order,13
insolent,1
disrespectful,2
in,909
asokoro,1
beside,2
first,240
Yesterday,7
quickly,5
by,176
way,74
should,139
made,347
transact,16
update,26
complaint,68
Things,1
like,184
dislike,1
currently,11
GMD,2
Plc,4
Let,2
r,37
Lol,29
worked,12
him,14
years,50
Of,10
Aug,12
total,12
about,223
POS,55
without,174
crediting,14
d,169
benefi,5
FG,4
launch,2
shared,2
facilities,2
MSMEs,2
Nigeria,152
soon,29
via,190
Dear,120
Idi,3
Araba,1
four,14
stands,2
out,171
time,204
I've,189
there,146
withdra,1
tried,262
recharging,49
applications,2
acco,12
what,309
wrong,127
network,69
how,359
do,508
fix,43
pls,206
still,257
waiting,41
issue,191
resolved,45
Am,51
timeline,6
What,149
going,120
Fix,5
days,159
hope,26
alone,10
Good,100
morning,158
facility,6
system,36
kept,10
eligi,1
visa,21
past,60
months,131
date,40
it,1130
ready,19
charged,173
RRR,3
favour,1
AAUA,1
POST,1
UTME,1
IyanaIpaja,1
machine,62
only,135
p,15
holder,13
DEX,4
f,27
doesn't,59
even,205
send,92
alerts,75
anymore,40
They,165
deduct,69
silently,1
officers,3
coming,27
back,132
NYSC,7
permanent,3
camp,6
Obubra,1
Cross,1
River,1
State,12
code,135
within,22
declined,16
because,123
issues,117
refunded,49
careless,4
their,167
subscribers,2
could,47
b,61
complaining,16
tink,2
goin,3
gtbank,35
wil,3
best,44
bcos,8
understand,80
link,25
two,83
accounts,49
level,7
Fraud,13
mentally,1
appallingIf,1
go,194
banks,179
USE,1
lot,15
ca,9
world,14
wife,15
her,55
counted,2
'terms,1
conditions,5
reactivate,10
Its,80
long,91
can't,225
debit,264
PayPal,11
Neteller,1
Saying,2
completed,6
check,49
reverse,77
tired,58
Tuesday,29
reversedtruly,1
does,87
any,190
Still,14
those,29
ma,14
collectibles,1
bringbackourpapernotes,1
Enough,3
these,82
shity,1
waterproof,1
Zero,1
durability,1
tire,15
If,86
another,108
diss,2
Una,2
wan,9
dey,90
form,32
boss,4
How,155
trans,3
Afraid,1
catch,2
agree,2
weeks,75
filled,11
dispense,89
error,137
branchAccount,1
Subtle,1
reminder,7
unbelievable,2
couldn't,33
wish,14
happy,7
birthday,7
when,293
had,132
value,23
activate,53
transactions,141
MTN,41
vtu,16
Last,22
night,61
Transaction,19
unsuccessful,28
hav,14
guys,292
didn't,227
reflect,32
Team,7
CStell,1
Wins,1
hour,37
ReCode,1
Hackathon,1
Lagos,45
Hiplease,1
i'm,6
having,86
bankingi,1
credited,166
phone,305
using,279
top,29
copies,1
archives,1
didnt,58
come,76
open,132
keep,92
getting,106
statement,17
recharge,195
told,115
egbami,2
seen,39
all,256
sum,28
These,19
ones,17
spent,8
much,87
older,3
than,117
Sorry,17
dear,16
that's,34
most,56
themTheir,1
customers,88
service,150
horrendous,1
hi,51
recharged,74
USSD,81
got,248
text,25
Ive,36
This,223
ago,104
ussd,51
after,196
some,112
seconds,7
previous,3
generation,2
failed,185
we,125
reason,55
fail,9
behind,11
civil,3
workers,9
cannot,25
pay,70
children's,1
school,25
fees,25
or,246
hospital,5
bills,15
think,99
happen,21
Government,2
private,7
sector,6
needs,28
work,83
together,4
address,11
corruption,5
carried,4
recipient,17
once,42
Service,7
charges,242
charge,277
logging,12
Since,44
haven't,92
sent,221
NAOMI,1
