[word],[frequency]
account,386
bank,370
money,244
failed,191
transaction,190
complaint,165
guys,157
app,155
wrong,149
debited,138
long,128
banks,125
transfer,121
mobile,118
atm,117
card,111
people,102
dm,100
charges,98
service,95
customer,90
worst,84
sms,84
time,82
bad,80
banking,79
pls,78
recharge,75
alert,75
branch,72
useless,70
unable,67
charge,67
tired,66
days,62
response,61
annoying,60
complained,58
debit,58
send,56
poor,54
whats,53
customers,53
airtime,53
issue,52
number,52
week,51
small,51
month,47
day,46
didnt,44
refund,44
dear,44
diamond,44
phone,43
access,42
experience,42
naira,42
check,41
charged,41
gtb,40
credit,39
nigeria,37
respond,37
sad,36
hours,36
reply,35
months,34
business,34
today,34
deducted,34
transactions,33
told,33
stop,32
message,32
hard,32
network,31
services,31
morning,31
hrs,31
code,30
open,30
working,29
dey,29
waiting,29
care,28
mad,28
resolved,28
issues,28
online,28
gtbank,28
work,27
due,27
reversal,27
successful,27
error,27
worse,27
reverse,26
credited,26
ussd,26
making,26
acct,26
frustrating,25
pos,25
reversed,25
ill,25
resolve,25
receive,25
close,25
difficult,25
call,24
maintenance,24
times,24
balance,24
withdraw,24
una,23
weeks,23
unfortunate,22
token,22
understand,22
happened,22
nigerian,22
line,21
problem,21
start,21
disappointed,21
email,21
alerts,21
cash,21
gt,21
unnecessary,20
tweet,20
na,20
stupid,20
deduct,20
internet,19
illegal,19
refused,19
terrible,19
sending,19
active,19
funds,19
firstbank,19
uba,19
fix,18
payment,18
fund,18
takes,18
fee,18
giving,18
change,18
late,18
hate,18
cbn,18
outrageous,18
system,18
called,17
reason,17
missing,17
cos,17
withdrawal,17
pay,17
fucking,17
wait,17
fake,17
scam,17
details,17
firstmobile,17
fraud,16
havent,16
platform,16
buy,16
amount,16
accounts,16
activate,16
july,16
shit,16
wrongly,16
hasnt,16
closed,15
pin,15
slow,15
usual,15
single,15
sick,15
pm,15
id,15
explanation,15
good,15
received,14
left,14
deduction,14
deposit,14
case,14
st,14
request,14
ridiculous,14
don,14
transfers,14
incompetent,14
god,14
fair,13
duty,13
yall,13
mo,13
talk,13
complain,13
person,13
life,13
part,13
calling,13
negative,13
follow,13
year,13
night,13
reformjabanks,13
bvn,13
zenith,13
happening,12
staff,12
machine,12
lot,12
give,12
previous,12
lodged,12
charging,12
load,12
monday,12
msg,12
simple,12
attend,12
crazy,12
transferred,12
run,12
recharging,12
youre,12
hope,12
world,12
dispense,12
disabled,12
password,11
unfair,11
minutes,11
receiving,11
means,11
sterling,11
fuck,11
feel,11
game,11
years,11
login,11
hour,11
complaints,11
debits,11
purchase,11
handle,11
mtn,11
atms,11
otp,11
staffs,10
date,10
wan,10
form,10
blocked,10
opening,10
deductions,10
deducting,10
big,10
birthday,10
common,10
answer,10
al,10
messages,10
statement,10
acc,10
finding,10
log,10
twitter,10
man,10
imagine,10
pathetic,10
branches,10
responding,10
put,10
showing,10
criminal,10
horrible,10
corporate,10
continue,10
waste,10
simply,10
report,10
explain,9
solve,9
coming,9
lodge,9
paying,9
saturday,9
trouble,9
stamp,9
hidden,9
return,9
frustrated,9
lost,9
bought,9
attended,9
funny,9
evening,9
wtf,9
savings,9
august,9
earlier,9
victim,9
loads,9
text,9
team,9
bro,9
pass,9
fire,9
dry,9
apps,9
complaining,8
fail,8
peoples,8
abeg,8
abi,8
forced,8
data,8
fees,8
ooo,8
ni,8
monthly,8
ti,8
lets,8
cc,8
handles,8
debiting,8
guilty,8
