[word],[frequency]
account,1026
dm,974
bank,725
kindly,680
tweet,508
handle,506
good,498
noticed,468
main,467
concerned,456
pls,450
check,448
talking,444
guys,356
money,322
morning,300
number,262
people,247
reply,245
send,242
im,230
airtime,221
response,221
app,218
follow,214
customer,211
sms,199
alert,192
dont,192
mobile,190
recharge,184
card,183
message,181
banking,180
time,180
debited,174
ur,173
naira,155
day,153
details,147
complaint,146
banks,145
branch,140
service,138
line,138
transaction,137
world,135
diamond,131
dear,127
waiting,126
open,124
email,124
issue,123
pay,122
days,122
business,118
respond,118
today,117
transfer,116
customers,113
charge,111
ive,111
lol,110
yesterday,104
deducted,104
tree,100
code,96
call,96
love,95
balance,95
na,95
online,94
gtb,92
god,87
whats,86
kind,86
give,85
care,83
una,83
credit,82
month,82
answer,79
nigeria,79
happy,78
complain,77
recharged,76
atm,76
evening,75
free,74
problem,74
uba,72
start,71
gtbank,71
nice,71
join,71
long,71
minutes,71
assist,69
sir,69
experience,69
work,68
acct,68
statement,68
request,68
provide,68
youre,67
platform,67
phone,67
savings,66
link,66
issues,65
great,65
received,64
august,64
top,63
receive,62
hope,62
id,62
kindl,62
ussd,61
register,61
charges,61
mtn,61
dey,60
stop,60
feedback,60
interest,59
cbn,58
debit,57
ki,57
successful,56
alerts,56
whatsapp,56
direct,56
ooo,55
blessing,55
date,54
sending,54
week,54
resolved,54
big,53
update,53
services,53
amount,53
firstbank,53
nigerian,52
unilag,52
refund,51
afternoon,51
van,51
confirm,50
bvn,50
recharging,50
asap,49
team,49
didnt,49
niekerk,49
twitter,48
resolve,48
credited,48
times,48
true,47
bro,47
reformjabanks,47
zenith,47
kin,47
okagbare,47
staff,46
buy,46
cash,46
birthday,46
youfirst,46
person,45
win,45
quick,44
months,44
silver,44
payment,43
attend,43
form,43
ill,43
st,43
challenge,43
reversed,43
working,43
wayde,43
reversal,42
support,42
hours,42
explain,41
asked,41
entrepreneur,41
lamp,40
fire,40
chairman,40
network,39
life,39
lets,39
chat,39
called,38
friday,38
lagos,38
question,38
leo,38
fbn,38
transactions,37
contact,37
rate,37
wait,36
bought,36
abeg,36
financial,36
pos,36
student,36
change,36
dms,36
messages,36
lot,35
state,35
hey,35
access,35
million,35
cool,35
mail,35
making,35
de,35
year,34
havent,34
tag,34
imagine,34
told,34
master,34
tomorrow,34
reverse,33
giving,33
opened,33
show,33
talk,33
small,33
david,33
owo,33
case,32
revert,32
guy,32
bring,32
put,32
hawk,32
fidelity,32
night,32
note,31
live,31
deduct,31
yo,31
deductions,31
telling,31
july,31
read,31
alright,31
information,31
coming,31
complaints,31
urgent,30
yall,30
real,30
assistance,30
attention,30
dormant,30
ego,30
don,29
brand,29
youll,29
wrong,29
lmao,29
office,29
charged,29
treat,29
pm,29
wont,29
asaba,29
data,28
deducting,28
understand,28
rt,28
training,28
weeks,28
pick,28
play,28
cc,28
dstv,28
trust,28
current,28
finally,28
requested,28
opt,28
rudisha,28
complained,27
security,27
years,27
africa,27
registration,27
find,27
watch,27
prompt,27
acc,27
september,27
friend,27
option,27
swift,27
fcmb,27
idea,26
mind,26
digital,26
apologize,26
opening,26
branches,26
funds,26
visit,26
started,26
friends,26
video,26
personal,26
simple,26
cydm,26
gorilla,26
ni,25
easy,25
receiving,25
reason,25
bless,25
sha,25
advice,25
countries,25
takes,25
sincerely,25
man,25
refer,25
ada,25
market,25
deduction,24
rectify,24
oo,24
part,24
reach,24
wasnt,24
awesome,24
limit,24
event,24
fix,24
glo,24
purchase,24
enter,24
lion,24
school,23
ngn,23
job,23
calling,23
means,23
abi,23
token,23
bills,23
return,23
social,23
address,23
run,23
full,23
xplorefirst,23
hrs,22
funny,22
point,22
future,22
paid,22
dis,22
weekend,22
enable,22
country,22
process,22
advert,22
african,22
deposit,22
explanation,22
replied,22
sunday,22
sort,22
skye,22
head,21
baba,21
wow,21
failed,21
matter,21
salary,21
responding,21
bankwars,21
sterling,21
fo,21
accounts,21
car,21
subscribe,21
transfers,21
championsontheniger,21
plz,20
