[word],[frequency]
bank,797
account,723
kindly,693
good,672
handle,475
main,474
noticed,468
tweet,465
concerned,455
talking,432
money,344
dm,341
morning,302
card,241
debited,238
app,230
mobile,216
pls,212
atm,203
transaction,179
day,177
guys,174
check,169
banking,146
lol,143
transfer,137
airtime,137
message,137
number,132
customer,127
follow,124
people,122
alert,118
time,118
sms,117
response,108
kind,104
send,103
nigeria,101
recharge,101
issue,100
love,99
evening,99
branch,96
banks,96
phone,94
top,92
debit,91
online,90
didnt,88
service,88
charge,88
naira,84
free,83
today,81
happy,80
direct,80
successful,79
access,77
reply,77
charges,77
dear,75
month,71
diamond,71
refund,70
great,69
nice,68
respond,68
days,68
customers,67
open,66
credit,65
details,65
pay,64
line,63
acct,63
gtb,62
work,61
kindl,59
afternoon,58
quick,57
call,56
code,56
true,56
ki,56
business,55
payment,54
assist,54
email,54
complaint,53
win,52
havent,52
hours,49
deducted,49
na,48
kin,48
gtbank,47
error,47
issues,47
urgent,47
transactions,47
times,47
cash,46
request,46
recharged,45
whats,45
dey,45
amount,45
receive,44
give,44
mtn,44
nigerian,43
platform,43
credited,42
live,42
august,40
ussd,40
uba,40
working,39
reversed,39
zenith,39
god,38
week,38
pos,37
network,37
register,37
complain,36
st,36
paid,36
youre,36
lmao,36
services,36
real,36
full,36
problem,36
weeks,35
cool,35
resolve,34
years,34
long,34
provide,34
firstbank,34
hrs,33
waiting,33
stop,33
resolved,33
balance,33
start,32
reverse,32
easy,32
opened,32
months,32
making,32
buy,32
youfirst,32
care,31
experience,31
hope,31
ready,31
savings,31
received,31
date,30
unilag,30
id,29
revert,29
data,28
big,28
birthday,28
confirm,28
deduct,28
join,28
night,28
charged,27
staff,27
world,27
called,27
contact,27
alerts,27
fraud,27
funny,26
link,26
july,26
statement,26
maintenance,26
fine,26
sending,26
gt,26
fast,25
dispense,25
fund,25
awesome,25
sincerely,25
million,25
close,24
understand,24
team,24
lagos,24
wow,24
withdraw,24
find,24
bro,24
update,24
return,24
sir,24
scam,24
attend,23
bought,23
told,23
transferred,23
yo,23
rectify,23
high,23
student,23
feedback,23
september,23
deposit,23
rate,23
fbn,23
withdrawal,22
loan,22
form,22
internet,22
financial,22
activate,22
machine,22
reversal,22
friday,22
whatsapp,22
social,22
chat,22
fixed,22
change,22
stress,22
accounts,21
life,21
filled,21
reason,21
asked,21
interest,21
important,21
person,21
sha,21
apologize,21
popular,21
support,21
recharging,21
transfers,21
una,21
safe,21
entrepreneur,21
system,20
digital,20
answer,20
year,20
lost,20
enjoy,20
cos,20
light,20
tomorrow,20
fix,20
worth,20
car,20
enter,20
longer,20
chairman,20
lot,19
monthly,19
bring,19
trust,19
limit,19
ill,19
wait,19
deductions,19
brand,19
abeg,19
lets,19
pm,19
shaku,19
interested,18
visa,18
early,18
job,18
show,18
action,18
glad,18
deducting,18
subscription,18
question,18
normal,18
bill,18
water,18
hasnt,17
award,17
process,17
training,17
failed,17
reach,17
dstv,17
assistance,17
acc,17
funds,17
messages,17
betja,17
review,17
enable,17
fcmb,17
happening,17
branches,17
token,17
challenge,17
young,16
mastercard,16
dis,16
cost,16
part,16
amazing,16
latest,16
play,16
proud,16
complete,16
de,16
creative,16
information,16
state,16
vtu,16
nigerians,16
country,16
wanted,16
requested,16
master,16
fun,16
leo,16
price,16
ooo,16
attended,16
special,15
telling,15
mind,15
institution,15
guess,15
experienced,15
visit,15
paying,15
media,15
advice,15
bills,15
maximum,15
fee,15
ac,15
crediting,15
gotv,15
read,15
opening,15
website,15
friend,15
success,15
confirmed,15
personal,15
clear,15
address,15
tuesday,14
giving,14
busy,14
idea,14
advise,14
yall,14
calm,14
lucky,14
office,14
fraudulent,14
purchase,14
treat,14
coming,14
explain,14
abi,14
notice,14
chance,14
complaints,14
buying,14
ada,14
fire,14
wears,14
campus,14
order,13
note,13
hour,13
sum,13
bless,13
dat,13
report,13
feel,13
pick,13
fo,13
cbn,13
alright,13
act,13
text,13
put,13
cards,13
boss,13
youll,13
honestly,13
matter,13
swift,13
needful,13
plz,13
friends,13
monday,13
pin,13
glo,13
man,13
beneficiary,13
remember,12
place,12
started,12
written,12
se,12
sell,12
block,12
ha,12
tag,12
prompt,12
program,12
conversation,12
inconvenience,12
opt,12
subscribe,12
brother,12
exact,12
advert,12
otp,12
major,12
fresh,12
case,12
absolutely,12
oo,12
robbery,12
twitter,12
market,12
risk,12
summer,12
mail,12
tired,12
wema,12
meet,11
refunded,11
friendly,11
receiving,11
reflect,11
rt,11
enjoying,11
left,11
clean,11
showing,11
beautiful,11
charging,11
sterling,11
means,11
simply,11
wonderful,11
security,11
school,11
greatest,11
imagine,11
event,11
dormant,11
instant,11
deactivate,11
log,11
youve,11
thought,11
talk,11
option,11
concern,11
claim,11
save,11
immediately,11
info,11
minutes,11
firstmobile,11
innovative,11
teminunilag,11
solution,10
space,10
resolution,10
operational,10
apply,10
hear,10
sort,10
yeah,10
salary,10
bankwars,10
tho,10
watch,10
super,10
continue,10
registered,10
forget,10
withdrawing,10
game,10
sme,10
writing,10
device,10
attention,10
set,10
quickly,10
extra,10
sunday,10
wat,10
refer,10
home,10
login,10
bullion,10
vans,10
salecall,10
plan,10
spend,10
run,10
smile,10
move,10
party,10
weekend,10
successfully,10
decided,10
campusstorm,10
bvn,10
dollar,10
tree,10
wit,9
payday,9
spent,9
heard,9
thousand,9
blocked,9
calling,9
lovely,9
die,9
engagement,9
outstanding,9
company,9
huge,9
choose,9
trial,9
patience,9
informed,9
aware,9
deduction,9
reformjabanks,9
fees,9
interesting,9
hold,9
point,9
due,9
responding,9
war,9
hall,9
type,9
union,9
active,9
highly,9
notification,9
transact,9
wife,9
smes,9
picture,9
smart,9
gave,9
solve,9
secure,9
unable,9
reasonable,9
africa,9
machines,9
fashion,9
poor,9
listen,9
smeconnect,9
instagram,9
sept,9
gapslite,9
public,8
nonsense,8
development,8
sector,8
responsible,8
rug,8
paypal,8
procedure,8
banki,8
enquiry,8
ba,8
marketing,8
sef,8
june,8
admin,8
happened,8
mummy,8
shouldnt,8
tha,8
guy,8
aid,8
experiencing,8
takes,8
urgently,8
agent,8
ban,8
remains,8
saturday,8
mins,8
unit,8
wed,8
purchased,8
board,8
caused,8
refused,8
theyre,8
attempt,8
list,8
pretty,8
client,8
requesting,8
required,8
thread,8
won,8
moment,8
debits,8
dms,8
arent,8
happen,8
scammers,8
wi,8
wa,8
calls,8
don,8
eat,8
road,8
ai,8
corporate,8
finally,8
makeup,8
advised,8
prepaid,8
knw,8
sounds,8
ad,8
thursday,8
utility,8
fidelityflashkey,8
stepping,8
fro,8
diaspora,8
firstbankisdigital,8
family,8
load,8
sing,8
earlier,8
dem,8
perfect,8
skye,8
millennium,8
control,8
rusoko,8
retrieve,7
forms,7
reliable,7
mode,7
holding,7
brain,7
hair,7
hand,7
registration,7
ma,7
meant,7
expired,7
professional,7
words,7
wrong,7
mcash,7
partnering,7
policy,7
naija,7
couple,7
cc,7
food,7
regret,7
rest,7
local,7
fact,7
add,7
bet,7
bros,7
sincere,7
apologies,7
bu,7
share,7
involved,7
wanna,7
news,7
payments,7
sweet,7
misplaced,7
mails,7
oya,7
treated,7
mo,7
honest,7
international,7
speak,7
level,7
hahahaha,7
replied,7
frustrating,7
innocent,7
tr,7
learn,7
queue,7
ref,7
aint,7
kudos,7
stuff,7
higher,7
video,7
stand,7
court,7
nk,7
stealing,7
straight,7
magic,7
satisfied,7
helloi,7
asaba,7
delay,7
stopped,7
supposed,7
drop,7
ecobank,7
cybersecurity,7
delivery,7
ignore,7
downloaded,7
african,7
promised,7
transfered,7
bit,7
shows,7
connect,7
entrepreneurship,7
virtual,7
house,7
vote,7
robbing,7
query,7
page,7
demobilize,7
fish,7
technology,6
worked,6
difficult,6
wednesday,6
current,6
hands,6
relationship,6
baba,6
youth,6
effective,6
lamp,6
showed,6
strong,6
nationwide,6
conference,6
choi,6
didn,6
session,6
surprised,6
fit,6
application,6
complained,6
requirements,6
feature,6
bad,6
download,6
bear,6
contacting,6
di,6
ah,6
digits,6
sound,6
ni,6
carry,6
wh,6
sim,6
truth,6
ensure,6
opportunity,6
industry,6
innovation,6
tv,6
recipient,6
password,6
expecting,6
thieves,6
minimum,6
explanation,6
discovered,6
fidelity,6
lodge,6
entrepreneurs,6
story,6
fantastic,6
bankers,6
guide,6
emails,6
daily,6
traffic,6
lemme,6
lie,6
peoples,6
reflected,6
hard,6
esusu,6
organization,6
single,6
winners,6
correct,6
claims,6
mess,6
institutions,6
tra,6
standing,6
hoping,6
rescue,6
serve,6
valid,6
safety,6
convenient,6
yrs,6
ikoyi,6
accept,6
convince,6
steal,6
flexxyourcreativity,6
total,6
da,6
shares,6
ibadan,6
education,6
severally,6
small,6
linked,6
oseni,6
moruf,6
akanbi,6
counting,6
laugh,6
ibukun,6
awosika,6
accou,6
storm,6
lines,6
skills,6
smeconnectseries,6
missing,6
modern,6
students,6
step,6
double,6
sabi,6
ruin,6
simple,6
protecting,6
born,6
easier,6
community,6
pass,6
gb,6
official,6
stolen,6
saving,6
gtworld,6
pocket,6
leomybff,6
facility,5
post,5
bcos,5
creating,5
fill,5
general,5
catch,5
partner,5
private,5
future,5
manager,5
mans,5
inform,5
ch,5
locked,5
efficient,5
remain,5
location,5
legal,5
shit,5
responses,5
surely,5
oga,5
discussion,5
terms,5
health,5
project,5
likes,5
appreciated,5
trend,5
unsuccessful,5
grateful,5
lead,5
earth,5
saved,5
ngn,5
applied,5
excited,5
excellent,5
serving,5
joy,5
fair,5
government,5
growing,5
yello,5
absolute,5
notifications,5
infact,5
ca,5
jst,5
cheers,5
reported,5
reaching,5
grace,5
bunch,5
running,5
embarrassing,5
gladly,5
income,5
barely,5
woman,5
release,5
improve,5
bn,5
consistent,5
ridiculous,5
disable,5
remove,5
apparently,5
quiet,5
awaiting,5
web,5
loading,5
resolving,5
western,5
result,5
switch,5
airtel,5
accoun,5
notified,5
helpful,5
acco,5
weekends,5
accessible,5
avail,5
room,5
pushing,5
lives,5
dr,5
affordable,5
emmanuel,5
af,5
mydreamville,5
coolteens,5
user,5
increase,5
morninghelp,5
employment,5
book,5
growth,5
fellow,5
reached,5
ways,5
building,5
bby,5
agro,5
morningplease,5
loyal,5
positive,5
kobo,5
lying,5
removed,5
leave,5
pleas,5
bot,5
hotel,5
music,5
warm,5
wahala,5
impressive,5
create,5
inbox,5
checked,5
works,5
female,5
visited,5
retweet,5
yea,5
teller,5
checking,5
funded,5
rarely,5
dispensed,5
effect,5
hustle,5
sorted,5
upgrade,5
standard,5
decline,5
sew,5
polo,5
finding,5
unusual,5
needed,5
anytime,5
btw,5
electricity,5
eko,5
legbegbe,5
knowledge,5
bankinggetscloser,5
series,5
launches,5
introduced,5
build,5
hot,5
highest,5
thi,5
senator,5
rewarding,5
side,5
powered,5
quiz,5
exchange,5
basic,5
av,5
yeye,5
shot,5
excuse,5
enugu,5
numbers,5
lion,5
passport,5
ups,5
weed,5
hub,5
facebook,5
beginning,5
startimes,4
wen,4
air,4
lady,4
speaker,4
leadership,4
wins,4
morningi,4
older,4
seconds,4
women,4
clarification,4
forgot,4
corner,4
debiting,4
ongoing,4
ilorin,4
