text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Unable to access my mobile app need help please,0,8/4/2018 0:42,False,1.02554e+18,CharlesRegina19,0,False,,,"Accra, Ghana",en,-0.5
free data,0,8/4/2018 0:23,False,1.02554e+18,odijo_omohz,0,False,,,,en,0.4
Please explain what's happening here ooooooooo Dont let us be unfortunate,1,8/3/2018 23:34,False,1.02553e+18,Kgnv_Plat,1,False,,,"Ondo, Nigeria",en,-0.5
Thank you  my complaint has been handled and I have received the alertCan Lokoja b,0,8/3/2018 21:08,True,1.02549e+18,Dan_Assabe,0,False,,,"Lokoja, Nigeria",en,-0.3
The last lady that picked chineye the ignored me I was angry she just left me on line now they dont pick my call,0,8/3/2018 16:44,False,1.02542e+18,tehilla_4,0,False,,,,en,-0.16666666666666666
I called customer care the refuse to pick my call I am angry I need the money urgently I get the same,0,8/3/2018 16:43,True,1.02542e+18,tehilla_4,0,False,,,,en,-0.25
pls how do i retrieve my old account number I want to start banking with you guys,0,8/3/2018 16:34,True,1.02542e+18,ceeroma007,0,False,,,"Ibadan, Nigeria",en,0.1
your internet banking app is so frustrating I went for a password reset but your staffs are being unfair no money access,0,8/3/2018 16:31,False,1.02542e+18,triplecrown1905,0,False,,,,en,-0.45
kindly reverse the payment or credit startimes DebitAmtNGN AccDescBILLSBas,0,8/3/2018 16:20,True,1.02542e+18,adaydayji,0,False,,,lagos,en,0.6
So it's taking   hrs to resolve my k wen hang for air  Very funny bank wit ancient technology like NTA,0,8/3/2018 15:35,False,1.0254e+18,BankzCollection,0,False,,,Heaven,en,0.325
it's so annoying that  complained about the double deduction that was made on the payda,0,8/3/2018 15:22,True,1.0254e+18,waleakinboro,0,False,,,"Federal Capital Territory, Nig",en,-0.3666666666666667
it's so annoying that your bank defrauded my colleague  through the payday loan scheme He has,0,8/3/2018 15:15,True,1.0254e+18,waleakinboro,0,False,,,"Federal Capital Territory, Nig",en,-0.8
good day I have did a transfer for over hrs now and I was debited yet the other account hasn't bein,0,8/3/2018 15:10,True,1.0254e+18,IamGodsOwnBaby,0,False,,,lagos,en,0.2875
Fast forward to this afternoon Remember i used my  ATM  card to make withdrawal twice yesterday inste,0,8/3/2018 14:51,True,1.02539e+18,OyedepoSamuel,0,False,,,"Lagos, Nigeria",en,0.2
Please call to order the insolent and disrespectful lady in your asokoro branch beside first bank I,0,8/3/2018 14:40,True,1.02539e+18,MyVillageWitch,0,False,,,"Igbo-Olodumare, Nigeria",en,0.25
need to work seriously on her staff at Asokoro Abuja The customer care lady with a brown suit downs,0,8/3/2018 14:34,True,1.02539e+18,MyVillageWitch,0,False,,,"Igbo-Olodumare, Nigeria",en,-0.3333333333333333
You almost got it right,0,8/3/2018 14:32,False,1.02539e+18,Nairametrics,0,False,,,Nigeria,en,0.2857142857142857
what's the update on my complaint  Things like this make me dislike to use access,0,8/3/2018 14:15,False,1.02538e+18,adonispeniel,0,False,,,Lagos State ,en,-0.3
Very close,0,8/3/2018 14:12,False,1.02538e+18,Nairametrics,0,False,,,Nigeria,en,0.2
