text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
OK Thanks,0,8/4/2018 5:05,False,1.02561e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,0.35
I'd be very happy if this matter is quickly treated and my money is returned Thanks in anticipation,0,8/4/2018 4:42,False,1.0256e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,0.5111111111111111
Around  Ever since then he's blocked me and he's no more reachable and I'm yet to receive a,0,8/4/2018 4:35,True,1.0256e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,-0.25
He also went on to tell me that I should put his matter on all social media platforms which is wha,0,8/4/2018 4:27,True,1.0256e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,0.03333333333333333
Hi I get huge deductions from my account  the last being about N yesterday I do hope this,0,8/3/2018 23:50,True,1.02553e+18,Agwemuria,0,False,,,LAGOS,en,0.20000000000000004
Same way   have decided to be unfortunate I get charged an average of k daily on PO,0,8/3/2018 22:43,True,1.02551e+18,goddammy,0,False,,,Lagos,en,-0.1625
And how long does it take to transfer to other bank I transfer since it yet to deliver to my other bank account,0,8/3/2018 21:09,False,1.02549e+18,chrisgate,0,False,,,"Lagos, Nigeria",en,-0.1
Good evening sir  I paid my go tv subscription which is  naira with quickteller using my visa,0,8/3/2018 20:43,True,1.02548e+18,PhinehasEkene,0,False,,,Lagos ,en,0.7
Dear   it's months since I was shortpayed at  terminal I've seen diamond revert other ba,0,8/3/2018 19:56,True,1.02547e+18,temidayo_capo,0,False,,,"Lagos, Nigeria",en,-0.125
Hahahaha my dear Na all be like that oh,0,8/3/2018 19:17,False,1.02546e+18,okpanx,0,False,,,,en,0.2
Meaning the twenty thousand is gone because zenith bank are saying the transaction was successful,0,8/3/2018 18:23,True,1.02545e+18,lovefelicia33,0,False,,,Lagos,en,0.75
I requested the MasterCard but you issued Visa Card instead Its cool to give your clients what,0,8/3/2018 18:23,True,1.02545e+18,atmfash,0,False,,,Nigeria,en,0.35
How long will this take to be resolved,0,8/3/2018 16:13,False,1.02541e+18,lovefelicia33,0,False,,,Lagos,en,-0.05
one of your colleague use this number to call me and I want to know if it's true  He c,0,8/3/2018 15:51,True,1.02541e+18,ibabatunde2000,0,False,,,,en,0.35
Please i v one last queation kindly check your DmRT   You are welcome,0,8/3/2018 15:28,False,1.0254e+18,Gbodimowo,0,False,,,Nigeria,en,0.4666666666666666
I had issue with my transaction fee hours ago when trying to top up my line  You debited my acc,0,8/3/2018 15:10,True,1.0254e+18,Golden_Prince10,0,False,,,,en,0.5
you can do better I opened an account and havent used it for one day yet Im in debit What happe,0,8/3/2018 14:01,True,1.02538e+18,Franojonoma,0,False,,,Earth Wind Fire Water,en,0.5
helloMy husband told me that my atm card was ready for collection that if i did nt pick it after,0,8/3/2018 13:46,True,1.02538e+18,Esthermusa96,0,False,,,Nasarawa state.,en,0.2
LMAO Dude one has nothing to do with the other in this particula,0,8/3/2018 13:36,True,1.02537e+18,Lawyerchap,0,False,,,,en,0.2375
And what determines how good the banks operational efficiency is,0,8/3/2018 13:32,True,1.02537e+18,Da_Natch,0,False,,,Everywhere,en,0.7
cozy life,0,8/3/2018 13:27,False,1.02537e+18,Da_Natch,0,False,,,Everywhere,en,-0.2
Thank you kindly respond to your dm again thanksRT   Hello  cont,0,8/3/2018 12:52,False,1.02536e+18,Gbodimowo,0,False,,,Nigeria,en,0.6
Oh Well the good thing is  is responding which is commendab,0,8/3/2018 12:20,True,1.02536e+18,Da_Natch,0,False,,,Everywhere,en,0.7
Our challenges are different sef lol Diamond Bank is reading sha,0,8/3/2018 12:14,False,1.02535e+18,tysalihu,0,False,,,"Lagos, Nigeria",en,0.4
have lodge a complaint since Monday and nothing has been done on it Just for user  since Monday,0,8/3/2018 11:53,False,1.02535e+18,ibabatunde2000,0,False,,,,en,-0.3
hello kindly respond to your DM Thank you,0,8/3/2018 11:15,False,1.02534e+18,Gbodimowo,0,False,,,Nigeria,en,0.6
I am good thanks,0,8/3/2018 10:49,False,1.02533e+18,liliboogie,0,False,,,"Lagos, Nigeria",en,0.45
Thanks replied,0,8/3/2018 10:14,False,1.02532e+18,mrflamez_,0,False,,,"Lagos, Nigeria",en,0.2
I sent that DM already Any chance someone in your team would be kind enough and promptly help me to resolve the issue,0,8/3/2018 9:37,False,1.02531e+18,TheWoleEffect,0,False,,,Just a button click away!,en,0.3
No refund iny account for fund that was remove from my account coz u feel u action can not be ques,0,8/3/2018 9:26,True,1.02531e+18,godmindexra,0,False,,,Lagos. Nigeria ,en,0.1
I just sent you a DM Please kindly check,0,8/3/2018 9:23,False,1.02531e+18,TheWoleEffect,0,False,,,Just a button click away!,en,0.6
Been calling your Contact Centre phone keeps ringing havent been able to reach anyone to help m,0,8/3/2018 9:18,True,1.02531e+18,TheWoleEffect,0,False,,,Just a button click away!,en,0.5
