text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Please you need to look into the situation at ur branch ATM in ibejulekki local government secret,0,2018-08-03 18:58:28,True,1025455878395387904,adebayoafeez360,0,False,,,"Lagos, Nigeria",en,-0.2
your website is slow Sha Later you will tell me it's network,0,2018-08-03 17:53:05,False,1025439425415835649,KLAZEMATICS,0,False,,,Abuja,en,-0.15000000000000002
good evening I was unable to withdraw after been debited I used the pos,0,2018-08-03 15:47:16,False,1025407762854043648,Supaseg8,0,False,,,"Lagos, Nigeria",en,0.09999999999999998
Dear  the time is nigh for me to close my account with youSmall deposit after many months debit,0,2018-08-03 11:28:53,True,1025342740081651712,troyfizzle,0,False,,,Nigeria,en,0.5
Exactly what I did with my  account any money that enter is saved safely,0,2018-08-03 10:24:25,False,1025326514882195457,AdetunjiAdeolu2,0,False,,,Osogbo,en,0.375
Nigeria Politics Summer Transfers  are d most annoying things that go,0,2018-08-03 10:21:07,True,1025325686570057728,iam_tommivill,0,False,,,Lagos NG - Accra GH,en,-0.15000000000000002
Nigeria Politics Summer Transfers  are d most annoying things that got,0,2018-08-03 10:19:29,True,1025325272743194629,iam_tommivill,0,False,,,Lagos NG - Accra GH,en,-0.15000000000000002
Nigeria Politics Summer Transfers  are d most annoying things that go,0,2018-08-03 10:18:07,True,1025324930806763520,iam_tommivill,0,False,,,Lagos NG - Accra GH,en,-0.15000000000000002
Nigeria Politics Summer Transfers  are d most annoying things that go,0,2018-08-03 10:17:46,True,1025324842931945472,iam_tommivill,0,False,,,Lagos NG - Accra GH,en,-0.15000000000000002
reply my DM it's been hours now and it's important Can't even transfer with the,0,2018-08-03 09:45:07,False,1025316622997839872,unclegeo_lak,0,False,,,In my mother's heart,en,0.4
Keyboard looks awful,0,2018-08-03 09:21:58,False,1025310799189995521,odiiji,0,False,,,,en,-1.0
Then after  yes to receive alert on my phone and email I filled like two extra forms for that again,0,2018-08-03 07:58:05,True,1025289690189049856,miss_scholz,0,False,,,"Abuja, Nigeria",en,0.2
That's to show how much we cherish you and how eager we are to continu,0,2018-08-03 07:21:43,True,1025280535554392064,Sterling_Bankng,0,False,,,Lagos,en,0.2
But right now I'm having a second thought about    also kept watch to wish me happy,1,2018-08-03 04:40:09,True,1025239877112266752,ja_daniel01,1,False,,,"Abuja, Nigeria",en,0.361904761904762
Your fidelity pension steals people's me OK bye without their consent This month you will see you,0,2018-08-02 23:26:12,True,1025160871222231040,Youngmikky4,0,False,,,UAE,en,0.5
Dear  why do I always get debited over failed transactions I just tried recharging my prepaid mete,0,2018-08-02 20:06:46,True,1025110679148216320,JohnNetworQ,0,False,,,Awawo,en,-0.5
Good evening Pls someone stole my ATM I want it to be blocked for me It's urgent,0,2018-08-02 19:35:26,False,1025102795006009344,Idcele,0,False,,,,en,0.7
Forget it because i don't think your bank is worth the stressI will just take the little I have,0,2018-08-02 15:34:06,True,1025042062813679616,Annabelcubs,0,False,,,"Lagos, Nigeria",en,0.05625
hello  how much would it cost me to obtain an instant atm visa card from your branch at alabaojo part of lagos,0,2018-08-02 15:29:38,False,1025040939130257409,nicholasibemere,0,False,,,"Lagos - Orlu , Nigeria",en,0.1
Ok,0,2018-08-02 14:53:35,False,1025031865927979008,WillyBuhari,0,False,,,Imo Owerri,en,0.5
Please check your DM I dropped a concern for your prompt action Thanks,0,2018-08-02 14:35:38,False,1025027346909286400,blessedkind,0,False,,,Nigeria,en,0.15000000000000002
Please does anyone here have a working account with  they've been frustrating me here for week,0,2018-08-02 13:23:09,True,1025009105927380994,Annabelcubs,0,False,,,"Lagos, Nigeria",en,-0.4
You're right I was waiting to see the software being advertised They s,0,2018-08-02 12:48:02,True,1025000268419805185,brainysensei,0,False,,,"LOS, NG",en,0.2857142857142857
is becoming a full time fraudulent bank How can i withdraw k,0,2018-08-02 12:35:49,True,1024997197044232192,killamic80,0,False,,,Nigeria,en,0.4
Is it impossible for bank ATM machines to dispense more than N or even N at once But no Even the regu,1,2018-08-02 12:12:07,True,1024991231623999488,wrytnonso,0,False,,,Nigeria.,en,-0.08333333333333331
Good time for Nigeria Rugby has committed to partner with   and,12,2018-08-02 11:12:20,True,1024976187549003776,Guarantor2011,13,False,,,Lagos,en,0.7
are another criminals they've been destroying my balance with S,0,2018-08-02 10:41:26,True,1024968407891017728,benyusouf,0,False,,,"Lagos, Nigeria",en,-0.2
kindly explain the transfer form charge of N plus the standard Nk,0,2018-08-02 10:34:40,False,1024966707088109568,lomshareal,0,False,,,Imee Uwa,en,0.3
I think this advert supports what is not acceptable morally and even failed to show,1,2018-08-02 09:49:41,True,1024955387701854208,AdeyemoMS,0,False,,,Nigeria,en,-0.25
good morning when will you be recruiting entrylevel staff,0,2018-08-02 08:20:45,False,1024933003825426432,Purespring1,0,False,,,Surulere,en,0.7
infact all the bankstoo much nonsense going oneven buseswhen,0,2018-08-02 08:16:48,True,1024932010337488897,tmarvl,0,False,,,"Lagos,Nigeria",en,0.2
This is a useless advert But don't ask me ask the bank that identifies with it,0,2018-08-02 07:56:47,False,1024926975381659648,emekaubani_aja,0,False,,,"Abuja, Nigeria",en,-0.5
Nice,0,2018-08-02 04:50:53,False,1024880189120163840,PRinx_17,0,False,,,"Lagos, Nigeria",en,0.6
Hi Quite humorous however you could have captured the idea cle,0,2018-08-02 00:01:23,True,1024807337436106752,adebotes,0,False,,,Nigeria,en,0.5
AWARD FOR BEST OPERATIONAL BANK IN NIGERIAWHICH OF THE NIGERIAN FINANCIAL INSTITUTION DO YOU LIKE THEIR MODE OF O,0,2018-08-01 22:44:21,True,1024787948431204353,BrainsSn,0,False,,,Nigeria,en,0.5
I've done the transfer after several tries but it's ok Thanks,0,2018-08-01 15:30:37,False,1024678798216908806,jikanjibril,0,False,,,"Abuja, Nigeria",en,0.15000000000000002
I wanted to transfer money through MOBILE MONEY OPERATORS but I failed as recent as L,0,2018-08-01 15:12:57,True,1024674350790836228,Tufairi,0,False,,,Finland,en,-0.25
Dear   how long does it take to refund a failed transaction I'm already in ur DMs before u ask me to go there,3,2018-08-01 14:57:45,False,1024670524994150400,JohnNetworQ,0,False,,,Awawo,en,-0.275
U guys should try and fix your transfer problems I have been trying to do transfer for the past,0,2018-08-01 14:21:10,True,1024661318178164736,Biglovevictor,0,False,,,,en,-0.25
I made a transfer at the early hours of today  I have been debited but the receiver is yet to get the amount debited,0,2018-08-01 11:32:49,False,1024618950771073024,boboalayo,0,False,,,"Ilorin, Nigeria",en,0.1
kindly check your  platform I have been trying to make transfers all day to no avail Kindly,0,2018-08-01 11:18:27,True,1024615336740630528,jikanjibril,0,False,,,"Abuja, Nigeria",en,0.6
Shame no one is seeing anything bad in this advert You are presenting women as obj,1,2018-08-01 08:44:31,True,1024576598534750208,bayowise,1,False,,,UK,en,-0.6999999999999998
If your app is on the keyboard then you can log keyboard entries that's bad Trust,0,2018-08-01 08:15:28,True,1024569289267929089,Conde_Lab,0,False,,,"Lagos, Nigeria",en,-0.6999999999999998
The owner is this signature  is a CRIMINAL a THIEF  A BANK ROBBER From a Nk sealed k was sto,0,2018-08-01 08:07:08,True,1024567189624508416,Danielseun,0,False,,,Nigeria,en,-0.4
The owner is this signature  is a CRIMINAL a THIEF  A BANK ROBBER From a Nk sealed k was sto,0,2018-08-01 08:06:59,True,1024567152660099074,Danielseun,0,False,,,Nigeria,en,-0.4
The deliberately discharged diesel into the drainage Not cool,0,2018-08-01 07:52:29,False,1024563506069336065,alldatjas,0,False,,,"Lagos, Nigeria",en,-0.175
I can't remember my acct no due to some personal issues  want to save money in acct pls can u help  My name okunuga tobi,0,2018-07-31 20:11:05,False,1024386990991699970,PPweetypearl,0,False,,,lagos,en,0.03125
pls i have been begging over four of ur branches for years now Pls delete my old number am no lo,0,2018-07-31 19:23:24,True,1024374991750668289,excelinat,0,False,,,,en,0.1
I have to their customer service has become very poor,0,2018-07-31 17:48:42,False,1024351157999816705,FERRACRUZ,0,False,,,,en,-0.52
All invited guests are kindly advised to register online CBNCyber CenBank CyberSecurity follow  insta,21,2018-07-31 17:21:45,True,1024344375860621312,cbncsc,32,False,,,"Abuja, Nigeria",en,0.6
Good afternoonI just opened an account with fidelity I'm trying to do the internet banking on my,0,2018-07-31 15:38:51,True,1024318483054641152,hadygundude,0,False,,,WORLDWIDE,en,0.7
I would kindly decline to call but rather  for the interest,0,2018-07-31 12:42:39,True,1024274139362877441,wayoutng,0,False,,,"Port Harcourt, Nigeria",en,0.6
is it right for you to configure your ATM machines to pay N per dispense to customersIs th,0,2018-07-31 09:06:43,True,1024219796395765760,wrytnonso,0,False,,,Nigeria.,en,0.2857142857142857
Very dope,0,2018-07-31 08:16:30,False,1024207161512157185,Ugkings,0,False,,,Abuja Nigeria,en,0.2
Dry ad,0,2018-07-31 06:16:19,False,1024176915190611969,BlessedEb,0,False,,,,en,-0.06666666666666665
