text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
sum weeks ago yall be running mouth about best banksabeg what do you have to say about my accoun,0,2018-08-03 21:52:12,True,1025499599837032449,Alhajisnoweezy,0,False,,,"Ogun, Nigeria",en,1.0
Been calling for  mins now nobody dey pick Only listening to Katy Perry's boring song,0,2018-08-03 19:16:59,False,1025460538892013570,nellsonpapi,0,False,,,Nigeria,en,-0.5
all banks in nigeria are the biggest criminal ever      al,0,2018-08-03 18:22:56,True,1025446936172748804,ellianasmith007,0,False,,,"Atlanta, GA",en,-0.4
month now counting and yet my money hasnt been reversed and it killing meI am fucking broke an,0,2018-08-03 18:06:01,True,1025442679444922369,Mr__HOH,0,False,,,"Lagos, Nigeria",en,-0.6
i made ussd transfer earlier to my other account and get credited and debit back in a min twice an,0,2018-08-03 17:32:13,True,1025434174499553280,babatie01,0,False,,,lagos nigeria,en,-0.04166666666666666
Those times our Grandparents  tell us stories on how they build their houses with less than Nk,0,2018-08-03 16:14:41,True,1025414661372633088,360degreeemnpr,0,False,,,"Lagos, Nigeria",en,-0.16666666666666666
BRAND NEW BULLION VANS FOR SALECALL  FOR PRICE AND DETAILS,0,2018-08-03 15:56:06,True,1025409984388063232,tholuinspire,0,False,,,tholuinspire@gmail.com,en,0.13636363636363635
BRAND NEW BULLION VANS FOR SALECALL  FOR PRICE AND DETAILS,0,2018-08-03 15:51:53,True,1025408926370676742,tholuinspire,0,False,,,tholuinspire@gmail.com,en,0.13636363636363635
Hello  You guys have started with your unempathetic service to customers Kindly reply to my Inbox message,0,2018-08-03 14:57:47,False,1025395310833610754,LanreShaper,0,False,,,"University of Sussex, England",en,0.6
I think it's high time  shuts  Before it creates a state of chaos in the industry My two bits,0,2018-08-03 14:24:59,False,1025387054656565248,gbengabomojo,0,False,,,Nigeria,en,0.16
I need the Skye bank help accountI made a transaction that failed and my money was deducted,0,2018-08-03 13:22:14,False,1025371264716812288,kvnqskivich,0,False,,,"Lagos,Nigeria",en,-0.5
PRIDENATIONZ your  Nationz best friendly ADVERTISING website Please Feel free to ask any Que,0,2018-08-03 11:41:53,True,1025346010166517765,PNationz,0,False,,,,en,0.5916666666666667
PRIDENATIONZ your  Nationz best friendly ADVERTI,0,2018-08-03 11:40:29,True,1025345659468165120,PNationz,0,False,,,,en,0.6875
Why do I at times receive fucking debit alerts of The last time it happened it suspended m,1,2018-08-03 10:35:09,True,1025329215451947008,Callychinedu,1,False,,,"Anambra, Nigeria",en,-0.3
see the full  details here,0,2018-08-03 10:09:24,False,1025322737416515584,Onyeti1,0,False,,,lagos,en,0.35
my friend has been unable to operate her account over three months even after several complaints,0,2018-08-03 09:11:36,True,1025308190253178880,kehindeawosusi,0,False,,,Nigeria,en,-0.25
your service is so disgusting This is nigeria,0,2018-08-03 07:34:35,False,1025283773653549056,eleyingold,0,False,,,,en,-1.0
On Wednesday walked into  plc and was unable to cash a cheque because there was and there hadn't b,0,2018-08-02 22:18:35,True,1025143853454700544,HelpFixIt_Ng,0,False,,,Nigeria,en,-0.5
Hello Please I will like to tweet you privately concerns my account Hoping to hear from you Thanks,0,2018-08-02 19:55:01,False,1025107721832620033,A_Harbraham,0,False,,,"Ibadan, Oyo state",en,0.1
Thanks av just sent a mail via my email,0,2018-08-02 19:34:13,False,1025102487760584704,olusegunyinkao1,0,False,,,,en,0.2
