text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Please call again I am available,0,2018-08-03 21:05:21,False,1025487811754041346,King_dayved,0,False,,,,en,0.4
Good evening I cannot pay for my DSTV subscription using my Umobile app  It appears the new subscriptio,0,2018-08-03 20:24:01,True,1025477410664402945,fredola47,0,False,,,,en,0.41818181818181815
Dear   it's months since I was shortpayed at  terminal I've seen diamond revert other ba,0,2018-08-03 19:56:45,True,1025470546975383558,temidayo_capo,0,False,,,"Lagos, Nigeria",en,-0.125
Well thanks for the time we spent together it's time to take a bow My token can not affect your income c,0,2018-08-03 17:44:42,True,1025437313944436736,XALTCREW,0,False,,,"Lagos, Nigeria",en,0.05
hello team Thanks it's been resolved,0,2018-08-03 16:21:21,False,1025416340109230080,Eleam34,0,False,,,,en,0.2
I want to retrieve my bvn number I lost the sim i registered it on I have a new number registered with,0,2018-08-03 14:53:39,True,1025394271267049472,King_dayved,0,False,,,,en,0.13636363636363635
Too bad  would do immediatelyI need the money for emergency purpose and I have to wait forever,0,2018-08-03 12:05:40,False,1025351996327583744,oshynetruborn,0,False,,,Right beside you,en,-0.6999999999999998
please i want to link my bvn with the account your chat robot Leo help me to open it few minutes ago,0,2018-08-03 09:48:26,False,1025317457781764096,fear_tz_abiodun,0,False,,,"Ilaro, Nigeria",en,-0.1
pls for God sake this your charges for unnecessary and on understandable card main and other pls explain,0,2018-08-03 08:23:20,True,1025296043968225281,ABDULLAHIAA7,0,False,,,"Minna, Nigeria",en,-0.11944444444444445
Good morning I need assistance,0,2018-08-03 07:13:27,False,1025278457264132096,ItsFolarin,0,False,,,"Nappyville,Bc,Nigeria",en,0.7
Working perfectly well on my device,0,2018-08-03 05:20:09,False,1025249942204502016,fredola47,0,False,,,,en,1.0
I have done that via DM Thanks,0,2018-08-03 03:45:49,False,1025226204981411842,makpenen,0,False,,,"kogi, Nigeria",en,0.2
Kindly refund my money uba bank You guys have taken a lot of unrecovered money from me  is not going to be,0,2018-08-02 23:30:40,True,1025161993525841920,Succesfulrankin,0,False,,,"Enugu, Nigeria",en,0.6
you guys are doing a good job removing ATM card maintenance fee from my account even though i haven't use,0,2018-08-02 19:08:36,True,1025096043166347264,1baga,0,False,,,,en,0.7
please I sent a direct message and it is urgent,0,2018-08-02 15:29:58,False,1025041023481851905,BisiLanre,0,False,,,,en,0.1
Please I have not been able to get my  statement of account printout from your Awolowo Rd Ikoyi Branch  all day,0,2018-08-02 15:16:32,False,1025037641207750657,Eleam34,0,False,,,,en,0.5
It's quite unpleasant that your customers at Awolowo Road were stranded due to the inability of the branch to print out statements,0,2018-08-02 15:14:09,False,1025037042726653952,Eleam34,0,False,,,,en,-0.3875
Hello team your team on Awolowo Road Ikoyi has not  been able to print out statements all day Please treat as very urgentThanks,0,2018-08-02 15:11:40,False,1025036414877138945,Eleam34,0,False,,,,en,0.35
good daymy accou  was debited  for an airtel data since yesterday but ti now my   has not been credited,0,2018-08-02 14:44:29,False,1025029574374162432,FAGBODUNO,0,False,,,LAGOS state,en,0.7
Happy for you,0,2018-08-02 13:25:05,False,1025009592315637762,BluprintDigital,0,False,,,"Lagos, Nigeria",en,0.8
I can't buy airtime on the latest version of your mobile app What's the way forward,0,2018-08-02 13:01:10,False,1025003574173028353,seguneruja,0,False,,,,en,0.5
Update After much discussion and signing of an indemnity form   has refunded my money I'd lik,4,2018-08-02 12:49:48,True,1025000713708077056,Tolutope10,1,False,,,Lagos,en,0.2
Who else is experiencing Tough Time with   UMobile appSo frustrating,0,2018-08-02 12:38:47,False,1024997942556610560,HAMAtew,0,False,,,"Akure, Nigeria",en,-0.3944444444444445
We sincerely apologize for the inconvenience kindly DM  your account number and the bene,0,2018-08-02 09:51:00,True,1024955715956494338,UBACares,0,False,,,"57 Marina, Lagos State",en,0.55
Kindly DM your mobile number account number last  digits on your active card date of birth and em,0,2018-08-02 09:20:57,True,1024948155505422336,UBACares,0,False,,,"57 Marina, Lagos State",en,0.15555555555555556
Have not been able to do any transaction for weeks now  please help me see to it,0,2018-08-02 09:00:59,False,1024943128871161856,Darmy48,0,False,,,Planet Earth,en,0.5
Share your sentiment however my own experien,0,2018-08-02 08:13:20,True,1024931139255971840,lola_akisanya,0,False,,,,en,0.6
This is a more recent conversation btw myself and  last week Thursday still promising hrs This kind o,2,2018-08-02 08:01:51,True,1024928248990449664,Tolutope10,3,False,,,Lagos,en,0.25999999999999995
