text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
please I need an instant solution to an urgent issue I just misplaced my debit card Kindly help me block it to avoid fraud,0,2018-08-03 19:30:52,False,1025464033988804609,o_johnsyne,1,False,,,"Lagos, Nigeria",en,0.13333333333333333
How long will it take my mobile app log in details to be reset I've really endure but no solution from your staffs So Annoying,0,2018-08-03 16:25:20,False,1025417341537058816,triplecrown1905,0,False,,,,en,-0.21666666666666667
BRAND NEW BULLION VANS FOR SALECALL  FOR PRICE AND DETAILS,0,2018-08-03 15:56:06,True,1025409984388063232,tholuinspire,0,False,,,tholuinspire@gmail.com,en,0.13636363636363635
BRAND NEW BULLION VANS FOR SALECALL  FOR PRICE AND DETAILS,0,2018-08-03 15:51:53,True,1025408926370676742,tholuinspire,0,False,,,tholuinspire@gmail.com,en,0.13636363636363635
Good afternoon WEMA BANK I tried linking my debit master card with my PayPal account but the reply I got was Th,1,2018-08-03 15:47:25,True,1025407799726170113,AiyeetanSunddy,1,False,,,0x166122b5A0b54D0EB738eD851Ce4,en,0.7
The th Nigerian Risk Summit is a Premium CSuite Risk Leadership Hub Only available to top  executives in Nige,0,2018-08-03 13:17:56,True,1025370182217289728,riskawards,1,False,,,Lagos Nigeria,en,0.3
Risk Awards is a platform that honours outstanding risk practice among firms and individuals NRASummit,0,2018-08-03 12:50:44,True,1025363336878272513,riskawards,1,False,,,Lagos Nigeria,en,0.5
Am sure yall still going to debit us for that hug,0,2018-08-03 11:30:40,False,1025343186057744385,okpoto_jnr1,0,False,,,Nigeria abuja,en,0.5
How much will u pay us for guessing,0,2018-08-03 11:10:11,False,1025338031845396480,okpoto_jnr1,0,False,,,Nigeria abuja,en,0.2
is worse wit customer care I'm at a branch where their customercare rep left d table to eat leaving their customers Waiting Damn,0,2018-08-03 09:54:38,False,1025319021246377984,statcomm,0,False,,,Anywhere am needed,en,-0.2
I like the ALAT by Wema too so easy to navigate,0,2018-08-03 03:34:25,False,1025223336450777089,AminuOluwole,0,False,,,lagos ni,en,0.43333333333333335
Hi  We are sincerely sorry and the Notification sent to your mail and mobile nu,0,2018-08-02 15:46:34,True,1025045197095411718,alat_ng,0,False,,,,en,-0.5
Thanks we  k,1,2018-08-02 14:45:25,True,1025029811792695296,Datoofthecreeks,0,False,,,Nigeria,en,0.2
You people are doing a good job,1,2018-08-02 14:42:04,False,1025028968158830592,ZinaSpeaks,0,False,,,Nigeria,en,0.7
stop harassing me please I've closed my account with you guys and wish to receive no further c,0,2018-08-02 14:06:11,True,1025019935775514624,Julietbliss,0,False,,,Pale Blue Dot,en,-0.05
Amazing,0,2018-08-01 19:33:53,False,1024740016831057920,rauol777,0,False,,,"Abuja, Nigeria",en,0.6000000000000001
Retweeted Wema Bank Win N million in the Enovate X SociaLiga Fantasy Premier League challengeTo jo,0,2018-08-01 16:51:02,True,1024699035549097984,Youngcache,0,False,,,Nigeria,en,0.8
Never mind guys It's all cool,0,2018-08-01 16:14:38,False,1024689873322762240,AyTokunboSalami,0,False,,,"Lagos, Nigeria",en,0.35
ALAT by WEMAI requested for an ATM card n I got it delivered to my home free of charge within  working,0,2018-08-01 16:02:43,True,1024686875871784960,Herdaywhome,0,False,,,lagos,en,0.4
Direct message,0,2018-08-01 10:16:06,False,1024599647430553600,Johndere46,0,False,,,Warri,en,0.1
I really need someone in customer care working   to explain how my account gets charged so many arbitrary fees Come on guys,0,2018-08-01 08:26:07,False,1024571967268155392,AyTokunboSalami,0,False,,,"Lagos, Nigeria",en,0.2
Wema online chat It has been very helpful,1,2018-08-01 08:13:03,False,1024568679797846016,Commando_T,1,False,,,,en,0.2
I didn't even have you peoples time yesterday but now I do Everyone laughed me to scorn for opening a 'rainy day ',0,2018-08-01 07:49:14,True,1024562684904308738,Goodie001,0,False,,,At the Father's feet,en,0.7
How many millions has Uber lost,1,2018-08-01 07:18:34,False,1024554966864687104,Gravydog316,0,False,,,"#yxe, #yqr, #ywg, #chi-town",en,0.5
Useless bank,0,2018-08-01 07:10:55,False,1024553043247935488,seamsbymidela,0,False,,,"Abeokuta, Nigeria",en,-0.5
Introduction of  the first digital bank Simply the best,3,2018-08-01 05:58:44,False,1024534877553782784,Sir_SmithM,3,False,,,"Abuja, Nigeria",en,0.3125
So  deducted  as bank charges from my already empty account IfIhadknown,0,2018-08-01 05:33:05,False,1024528423820185601,FolorunsoPraise,0,False,,,"Ile Ife, Nigeria",en,-0.1
what do you mean by DM,0,2018-07-31 22:14:59,False,1024418173423165441,AdafinDvas,0,False,,,,en,-0.3125
I have done as you requested Thanks,0,2018-07-31 22:00:44,False,1024414585837772801,Tee___Rexx,0,False,,,"Nigeria, ilorin",en,0.2
debit my account illegally please what can I do,0,2018-07-31 21:48:59,False,1024411628886994946,AdafinDvas,0,False,,,,en,-0.5
what is this illegal USSD TRANCACTION CHARGE that has resulted in the deduction of N from my account,0,2018-07-31 18:49:13,True,1024366387270234112,Tee___Rexx,0,False,,,"Nigeria, ilorin",en,-0.5
People no even know how much you dey charge sef Abeg make una stop this una accumulated charges na fraud dey there,1,2018-07-31 15:07:20,False,1024310548110946304,steryj,0,False,,,,en,0.2
The thunder wey ah go send to you people still dey do press up if you continue to make this your arbitrary deductio,1,2018-07-31 15:04:20,True,1024309796261036033,steryj,0,False,,,,en,-0.1
Start small You do not have to wait until you are earning a lot to start savingNavigateWithIdy,1,2018-07-31 10:30:54,True,1024240981267361792,c_shepherds,0,False,,,"Plot 13A, Olayinka Balogun Crescent, off Alhaji Jubril Liadi Street, Magodo Phase 2.",en,-0.25
Wealth is the capacity to mobilize manage and deploy the resources available to you to bring a vision into fruitio,0,2018-07-31 10:24:38,True,1024239407283490822,c_shepherds,0,False,,,"Plot 13A, Olayinka Balogun Crescent, off Alhaji Jubril Liadi Street, Magodo Phase 2.",en,0.4
