text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Pls I did a transaction I was debited twice but it didn't get delivered I got to know when I did top up,0,8/4/2018 2:09,False,1.02556e+18,Dharmylolar1,0,False,,,"Lagos, Nigeria",en,0.5
Dear  for your reply Unfortunately I cant send you a DM if I am not following you Kindly follow so that,0,8/4/2018 0:30,True,1.02554e+18,akachukwu,1,False,,,London | Global Citizen,en,0.033333333333333326
Hello I have been unable to do any transaction since morning pls help ASAP am at the ATM right now and it's my only option,0,8/3/2018 20:21,False,1.02548e+18,ojdeniz,0,False,,,"Lagos, Nigeria",en,-0.07142857142857144
kindly follow back for a dm,0,8/3/2018 19:46,False,1.02547e+18,esther_ibeneme,0,False,,,,en,0.3
kindly assist with this I sent money to another bank account yesterday but the beneficiary is yet to rec,0,8/3/2018 19:23,True,1.02546e+18,Themithurpe,0,False,,,lagos,en,0.6
i opened a first bank account during the program 'ENTREPRENEURIAL MINDSET' i want to know when i will receive my ATM CARD,0,8/3/2018 19:07,False,1.02546e+18,Aladekehindepe1,0,False,,,,en,0.25
Kindly reply your dm,0,8/3/2018 19:04,False,1.02546e+18,Folabii_,0,False,,,,en,0.6
kindly follow back pls,0,8/3/2018 18:51,False,1.02545e+18,esther_ibeneme,0,False,,,,en,0.3
hello good evening my name is ALADE KEHINDE PETER  A student of unilag i attended d prog,0,8/3/2018 18:46,True,1.02545e+18,Aladekehindepe1,0,False,,,,en,0.7
kindly follow back please,0,8/3/2018 18:42,False,1.02545e+18,esther_ibeneme,0,False,,,,en,0.3
is it safe to drop my account details herewanted to send a dm,0,8/3/2018 18:36,False,1.02545e+18,esther_ibeneme,0,False,,,,en,0.5
good evening someone send money to my account from europe and am yet to recieve it since yesterdayhere,0,8/3/2018 18:33,True,1.02545e+18,HalimatSarumi,0,False,,,Lagos nig,en,0.7
Okay thanksHow does the WhatsApp banking work,0,8/3/2018 17:47,False,1.02544e+18,Mightypluzz,0,False,,,Nigeria <f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC><f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC><f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,0.5
and that is how firstmobile has been down for more than two hours now,0,8/3/2018 17:42,False,1.02544e+18,kenkaz_pro,0,False,,,Nigeria,en,0.17222222222222222
Thanks so much for finding solution You just made my weekend,0,8/3/2018 17:22,False,1.02543e+18,Child_of_sense,0,False,,,"Lagos, Nigeria",en,0.2
But Im not in the country  I really need to reactivate IF its dormant,0,8/3/2018 16:46,False,1.02542e+18,REALJIZZA,0,False,,,,en,0.2
kindly help me i recharged my mobile line  with  using  the money was deducted but,0,8/3/2018 16:41,True,1.02542e+18,i_am_Deeman,0,False,,,,en,0.6
Please what kind of nonsense stunt are you guys pulling  I cant access my account or anything,0,8/3/2018 16:38,True,1.02542e+18,OgShallz,0,False,,,"Lagos, Nigeria",en,0.6
Good eveningam unable to make transaction on my account through your ATMUSSD codeand App,0,8/3/2018 16:27,True,1.02542e+18,gordonjean,0,False,,,"lagos,nigeria.",en,0.09999999999999998
Staff at First Bank Diaspora Banking Unit dropping the phone on,0,8/3/2018 16:20,True,1.02542e+18,ClaraRufai,0,False,,,"London, England",en,0.25
Hello can you please kindly open the DM option for me so that I can be able to send you those information,0,8/3/2018 16:19,False,1.02542e+18,AdedamolaUsman,0,False,,,"Fct, Abuja. ",en,0.25
Successful winners have been paidi only participated in the Nigeria Argentina predictionsso no,0,8/3/2018 16:10,True,1.02541e+18,EminenceTca,0,False,,,Lagos|Abuja|kano|Uk,en,0.375
Good afternoon It's over  working hours now  it has not been reversed,0,8/3/2018 16:04,False,1.02541e+18,Derebucci,0,False,,,Ibadan,en,0.7
Hi first bank I've been waiting to receive my debit card with no response from you people yet I applied,0,8/3/2018 15:56,True,1.02541e+18,Yaraduagroup,0,False,,, 9ja,en,0.25
It reversed last night Thanks,0,8/3/2018 15:42,False,1.02541e+18,sirwebs,0,False,,,Where the streets have no name,en,0.1
I really dunno whats wrong wit first bank,0,8/3/2018 15:27,False,1.0254e+18,Mazi_Tochukwu,0,False,,,"Port Harcourt, Nigeria",en,-0.016666666666666663
I made a  data transaction today which I was debited for but it wasn't successful Didn't get data a,0,8/3/2018 15:13,True,1.0254e+18,Abbytope,0,False,,,"Lagos, Nigeria",en,0.75
Just downloaded your mobile app and was asked to put my card number and PIN  Is that normal and safe,0,8/3/2018 14:53,False,1.02539e+18,da2boville,0,False,,,"Port Harcourt, Nigeria",en,0.325
I have been unable to the transfer funds from my account all dayit keeps telling me error processing request,0,8/3/2018 14:45,True,1.02539e+18,ijagaban,0,False,,,"Lagos, Nigeria",en,-0.5
after providing the Nepa bill and NIN number it's annoying that my account still remains frozen after  months,0,8/3/2018 14:41,False,1.02539e+18,prince_laurel12,0,False,,,,en,-0.8
Just downloaded your mobile app and was asked to put my card number and PIN  Is that normal and safe,0,8/3/2018 14:31,False,1.02539e+18,da2boville,0,False,,,"Port Harcourt, Nigeria",en,0.325
