text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Tell Us more,0,2018-09-11 17:43:20,False,1039570096862179328,sagiyr,0,False,,,,en,0.5
that your advert that says something about not trusting mechanics is really quite sad disrespectful,0,2018-09-11 16:29:46,True,1039551584567476225,mokrie,0,False,,,,en,-0.15
and  be emailing me that I stand a chance to win Why don't you just  give me a win on,0,2018-09-11 16:03:49,True,1039545053990019072,Aniedi_Benard,0,False,,,Uyo,en,0.8
So bad  didn't wish me on my birthday even  and  that i have just a thousand naira in their acct did BAD,0,2018-09-11 15:16:43,False,1039533202573062144,OkingsOlas,0,False,,,"Lagos, Nigeria",en,-0.6999999999999998
Very Disappointed with ATM services and It fills with Garbage and dirty smells,1,2018-09-11 13:49:35,True,1039511275762372608,AnalyzerSumit,0,False,,,"Mumbai, India",en,-0.7875000000000001
My guy calm down ah  Aftarall UNI are both the starting alfabets of your names  Lol,0,2018-09-11 12:07:57,False,1039485696539545600,iammrelvis,0,False,,,lagos,en,0.23611111111111116
Dear  pls how long does it take to open a Savings Account with you guys,0,2018-09-11 12:04:29,False,1039484825302908928,timkonyehi,0,False,,,"Lagos, Nigeria",en,-0.025
are so happy to bring to you Rusoko This brand is for all across the world Just log on to,1,2018-09-11 11:25:40,True,1039475054210437120,Oneboykb,0,False,,,"Lagos, Nigeria",en,0.8
Have you seen the latest African wears from Rusoko Then you need to check them out  We make free delivery  to,0,2018-09-11 11:24:55,True,1039474865491898368,Oneboykb,0,False,,,"Lagos, Nigeria",en,0.3
is the worst  bank I've banked withthank you for wasting my time and money  in your bank,0,2018-09-11 10:28:58,False,1039460788510048256,CindiaPez,0,False,,,"  Benin,Edo state",en,-1.0
are so happy to bring to you Rusoko This brand is for all across the world Just log on to,0,2018-09-11 08:30:55,True,1039431080045105152,SIREHABBIIBB,0,False,,,Nigeria,en,0.8
Have you seen the latest African wears from Rusoko Then you need to check them out  We make free delivery  to,5,2018-09-11 08:30:49,True,1039431055265210369,SIREHABBIIBB,2,False,,,Nigeria,en,0.3
Patience is a virtue but there's a thin line between being patient and being taken for a foolThis is gross negli,0,2018-09-11 08:14:41,True,1039426992595189760,UNILAG_EFIWE,1,False,,,"Lagos, Nigeria",en,-0.2
It has taken you more than  Working Days to resolvereverse a simple banking error on your partI mean what the,0,2018-09-11 08:12:49,True,1039426523093192704,UNILAG_EFIWE,0,False,,,"Lagos, Nigeria",en,0.0625
