text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
POLITICIAN Politician are the same no one is better than othergood morning,0,2018-08-04 05:26:59,False,1025614049915088896,9Remmy4real,0,False,,,Nigeria ,en,0.25
Psychologist lol,0,2018-08-04 03:13:56,False,1025580566702432256,nims_k,0,False,,, Nigeria,en,0.8
Nice,0,2018-08-04 01:35:54,False,1025555898473881600,ChuksChukwunalu,0,False,,,"Lagos, Nigeria",en,0.6
wooow really enjoyed,0,2018-08-03 22:19:11,False,1025506390209642512,ObengGyanSamue1,0,False,,,"Accra, Ghana",en,0.5
Perhaps i should remind you  offers k as limits for the same online transactions an,1,2018-08-03 20:49:09,True,1025483734513053696,jerryfrankson,1,False,,,WORLDWIDE,en,0.05
Profound gratitude to  for resolving making a full refund of present  historical charges to date Thank,4,2018-08-03 20:48:29,True,1025483565692272640,JOPopoola,0,False,,,,en,0.10833333333333332
How can u ask me to meet the owner of an acct I tot u have to contact first bank not me doing ur job an,0,2018-08-03 19:32:02,True,1025464325522317313,SimiSucre,0,False,,,abuja nigeria,en,0.25
Switch to  for that stress free life boo,0,2018-08-03 18:58:48,False,1025455964546379777,bettyvonlittle,0,False,,,Shudderingham,en,0.4
Pilotonce dreamed to be one while in high school till reality struck,0,2018-08-03 17:09:30,False,1025428455754792961,jamdedon,0,False,,,"Uyo, Nigeria",en,0.16
Want to know the perfect job for you Comment with the first word you see Bank on the go with the Z,6,2018-08-03 17:08:27,True,1025428195154243584,Gidi_Traffic,0,False,,,Everywhere,en,0.625
Whatever  is doing please kindly ensure the transaction goes through today bcos I need the cash for the weekend,0,2018-08-03 16:55:20,False,1025424890688679937,GoddiePele,0,False,,,Lagos,en,0.6
ATM at dis IJAIYE branch only is working  Its too early d wkend The crowd here can vote in a Gov,0,2018-08-03 16:40:15,False,1025421096684855296,olabordeyphilip,0,False,,,,en,0.05
Good day Pls I've been having issues with paying online for like  weeks now Whenever I,0,2018-08-03 15:56:10,True,1025410001047900161,marvellousmarv8,0,False,,,"Akure, Nigeria",en,0.7
Hello  kindly help me with ur Zenith bank Routing Address Plz,0,2018-08-03 15:43:06,False,1025406715045576704,sagumau,0,False,,,Nigeria!,en,0.6
Good evening Zenith bank I want to make a complain about a false discharge of money  from my acco,0,2018-08-03 15:16:04,True,1025399912375246848,blacksegunn,0,False,,,,en,0.14999999999999994
Fast forward to this afternoon Remember i used my  ATM  card to make withdrawal twice yesterday inste,0,2018-08-03 14:51:18,True,1025393678163107844,OyedepoSamuel,0,False,,,"Lagos, Nigeria",en,0.2
Ok,0,2018-08-03 14:47:04,False,1025392611354468352,SegunPeach,0,False,,,"New Jersey, USA",en,0.5
Hello kindly provide the userid or username and the amount you funded yo,0,2018-08-03 14:46:47,True,1025392539891892224,Bet9jaHelp,0,False,,,,en,0.6
I have been a customer for more than two years now  and am yet to hear customer service week  Is that how you people are,0,2018-08-03 14:42:52,False,1025391556117901314,AIwasam,0,False,,,Calabar ,en,0.5
So I didn't type my phone number into my  app properly and I've ended up recharging some lucky sod's li,0,2018-08-03 13:43:36,True,1025376642724757504,DavidHundeyin,0,False,,,"Lagos, Nigeria",en,0.16666666666666666
The th Nigerian Risk Summit is a Premium CSuite Risk Leadership Hub Only available to top  executives in Nige,0,2018-08-03 13:17:56,True,1025370182217289728,riskawards,1,False,,,Lagos Nigeria,en,0.3
